Apical-Lumen, ECM strength, Spring Energy, 0.013058 0.026784 0.041418
Apical-Lumen, ECM strength, Spring Energy, 0.012772 0.027026 0.036259
Apical-Lumen, ECM strength, Spring Energy, 0.012763 0.027155 0.035015
Apical-Lumen, ECM strength, Spring Energy, 0.012809 0.027218 0.034237
Apical-Lumen, ECM strength, Spring Energy, 0.012863 0.027248 0.033720
Apical-Lumen, ECM strength, Spring Energy, 0.012913 0.027265 0.033332
Apical-Lumen, ECM strength, Spring Energy, 0.012963 0.027274 0.032948
Apical-Lumen, ECM strength, Spring Energy, 0.013007 0.027280 0.032675
Apical-Lumen, ECM strength, Spring Energy, 0.013044 0.027284 0.032451
Apical-Lumen, ECM strength, Spring Energy, 0.013078 0.027285 0.032242
Apical-Lumen, ECM strength, Spring Energy, 0.013109 0.027285 0.032063
Apical-Lumen, ECM strength, Spring Energy, 0.013137 0.027284 0.031908
Apical-Lumen, ECM strength, Spring Energy, 0.013163 0.027282 0.031757
Apical-Lumen, ECM strength, Spring Energy, 0.013187 0.027281 0.031635
Apical-Lumen, ECM strength, Spring Energy, 0.013208 0.027279 0.031516
Apical-Lumen, ECM strength, Spring Energy, 0.013228 0.027277 0.031411
Apical-Lumen, ECM strength, Spring Energy, 0.013247 0.027274 0.031312
Apical-Lumen, ECM strength, Spring Energy, 0.013265 0.027272 0.031216
Apical-Lumen, ECM strength, Spring Energy, 0.013282 0.027269 0.031131
Apical-Lumen, ECM strength, Spring Energy, 0.013298 0.027267 0.031050
Apical-Lumen, ECM strength, Spring Energy, 0.013314 0.027264 0.030972
Apical-Lumen, ECM strength, Spring Energy, 0.013329 0.027262 0.030897
Apical-Lumen, ECM strength, Spring Energy, 0.013344 0.027259 0.030829
Apical-Lumen, ECM strength, Spring Energy, 0.013358 0.027257 0.030764
Apical-Lumen, ECM strength, Spring Energy, 0.013371 0.027254 0.030699
Apical-Lumen, ECM strength, Spring Energy, 0.013385 0.027252 0.030636
Apical-Lumen, ECM strength, Spring Energy, 0.013398 0.027250 0.030580
Apical-Lumen, ECM strength, Spring Energy, 0.013410 0.027248 0.030525
Apical-Lumen, ECM strength, Spring Energy, 0.013422 0.027245 0.030469
Apical-Lumen, ECM strength, Spring Energy, 0.013434 0.027243 0.030415
Apical-Lumen, ECM strength, Spring Energy, 0.013446 0.027241 0.030367
Apical-Lumen, ECM strength, Spring Energy, 0.013457 0.027239 0.030318
Apical-Lumen, ECM strength, Spring Energy, 0.013468 0.027237 0.030271
Apical-Lumen, ECM strength, Spring Energy, 0.013479 0.027235 0.030225
Apical-Lumen, ECM strength, Spring Energy, 0.013489 0.027233 0.030180
Apical-Lumen, ECM strength, Spring Energy, 0.013500 0.027231 0.030137
Apical-Lumen, ECM strength, Spring Energy, 0.013510 0.027229 0.030094
Apical-Lumen, ECM strength, Spring Energy, 0.013520 0.027227 0.030052
Apical-Lumen, ECM strength, Spring Energy, 0.013530 0.027225 0.030012
Apical-Lumen, ECM strength, Spring Energy, 0.013540 0.027223 0.029973
Apical-Lumen, ECM strength, Spring Energy, 0.013549 0.027221 0.029935
Apical-Lumen, ECM strength, Spring Energy, 0.013558 0.027219 0.029897
Apical-Lumen, ECM strength, Spring Energy, 0.013568 0.027217 0.029861
Apical-Lumen, ECM strength, Spring Energy, 0.013577 0.027215 0.029824
Apical-Lumen, ECM strength, Spring Energy, 0.013586 0.027213 0.029789
Apical-Lumen, ECM strength, Spring Energy, 0.013594 0.027211 0.029755
Apical-Lumen, ECM strength, Spring Energy, 0.013603 0.027209 0.029722
Apical-Lumen, ECM strength, Spring Energy, 0.013611 0.027207 0.029689
Apical-Lumen, ECM strength, Spring Energy, 0.013620 0.027205 0.029657
Apical-Lumen, ECM strength, Spring Energy, 0.013628 0.027204 0.029624
Apical-Lumen, ECM strength, Spring Energy, 0.013636 0.027202 0.029594
Apical-Lumen, ECM strength, Spring Energy, 0.013644 0.027200 0.029564
Apical-Lumen, ECM strength, Spring Energy, 0.013651 0.027198 0.029534
Apical-Lumen, ECM strength, Spring Energy, 0.013659 0.027196 0.029504
Apical-Lumen, ECM strength, Spring Energy, 0.013667 0.027194 0.029475
Apical-Lumen, ECM strength, Spring Energy, 0.013674 0.027192 0.029448
Apical-Lumen, ECM strength, Spring Energy, 0.013681 0.027190 0.029421
Apical-Lumen, ECM strength, Spring Energy, 0.013688 0.027188 0.029393
Apical-Lumen, ECM strength, Spring Energy, 0.013695 0.027186 0.029366
Apical-Lumen, ECM strength, Spring Energy, 0.013702 0.027184 0.029340
Apical-Lumen, ECM strength, Spring Energy, 0.013709 0.027183 0.029315
Apical-Lumen, ECM strength, Spring Energy, 0.013716 0.027181 0.029289
Apical-Lumen, ECM strength, Spring Energy, 0.013722 0.027179 0.029264
Apical-Lumen, ECM strength, Spring Energy, 0.013729 0.027177 0.029239
Apical-Lumen, ECM strength, Spring Energy, 0.013735 0.027175 0.029215
Apical-Lumen, ECM strength, Spring Energy, 0.013742 0.027173 0.029191
Apical-Lumen, ECM strength, Spring Energy, 0.013748 0.027171 0.029168
Apical-Lumen, ECM strength, Spring Energy, 0.013754 0.027170 0.029145
Apical-Lumen, ECM strength, Spring Energy, 0.013760 0.027168 0.029123
Apical-Lumen, ECM strength, Spring Energy, 0.013766 0.027166 0.029101
Apical-Lumen, ECM strength, Spring Energy, 0.013772 0.027164 0.029079
Apical-Lumen, ECM strength, Spring Energy, 0.013778 0.027162 0.029057
Apical-Lumen, ECM strength, Spring Energy, 0.013783 0.027160 0.029036
Apical-Lumen, ECM strength, Spring Energy, 0.013789 0.027159 0.029014
Apical-Lumen, ECM strength, Spring Energy, 0.013795 0.027157 0.028994
Apical-Lumen, ECM strength, Spring Energy, 0.013800 0.027155 0.028974
Apical-Lumen, ECM strength, Spring Energy, 0.013805 0.027153 0.028954
Apical-Lumen, ECM strength, Spring Energy, 0.013811 0.027152 0.028934
Apical-Lumen, ECM strength, Spring Energy, 0.013816 0.027150 0.028915
Apical-Lumen, ECM strength, Spring Energy, 0.013821 0.027148 0.028896
Apical-Lumen, ECM strength, Spring Energy, 0.013826 0.027147 0.028877
Apical-Lumen, ECM strength, Spring Energy, 0.013831 0.027145 0.028858
Apical-Lumen, ECM strength, Spring Energy, 0.013836 0.027143 0.028839
Apical-Lumen, ECM strength, Spring Energy, 0.013841 0.027142 0.028821
Apical-Lumen, ECM strength, Spring Energy, 0.013846 0.027140 0.028803
Apical-Lumen, ECM strength, Spring Energy, 0.013850 0.027138 0.028786
Apical-Lumen, ECM strength, Spring Energy, 0.013855 0.027137 0.028769
Apical-Lumen, ECM strength, Spring Energy, 0.013860 0.027135 0.028752
Apical-Lumen, ECM strength, Spring Energy, 0.013864 0.027134 0.028735
Apical-Lumen, ECM strength, Spring Energy, 0.013869 0.027132 0.028718
