Apical-Lumen, ECM strength, Spring Energy, 0.013651 0.017704 0.097129
Apical-Lumen, ECM strength, Spring Energy, 0.013358 0.017980 0.091785
Apical-Lumen, ECM strength, Spring Energy, 0.013459 0.018085 0.089871
Apical-Lumen, ECM strength, Spring Energy, 0.013560 0.018141 0.088335
Apical-Lumen, ECM strength, Spring Energy, 0.013668 0.018177 0.086759
Apical-Lumen, ECM strength, Spring Energy, 0.013751 0.018198 0.085689
Apical-Lumen, ECM strength, Spring Energy, 0.013819 0.018210 0.084827
Apical-Lumen, ECM strength, Spring Energy, 0.013883 0.018218 0.083954
Apical-Lumen, ECM strength, Spring Energy, 0.013948 0.018221 0.083090
Apical-Lumen, ECM strength, Spring Energy, 0.014006 0.018220 0.082364
Apical-Lumen, ECM strength, Spring Energy, 0.014053 0.018217 0.081796
Apical-Lumen, ECM strength, Spring Energy, 0.014098 0.018210 0.081221
Apical-Lumen, ECM strength, Spring Energy, 0.014144 0.018200 0.080648
Apical-Lumen, ECM strength, Spring Energy, 0.014187 0.018188 0.080120
Apical-Lumen, ECM strength, Spring Energy, 0.014223 0.018176 0.079688
Apical-Lumen, ECM strength, Spring Energy, 0.014258 0.018163 0.079250
Apical-Lumen, ECM strength, Spring Energy, 0.014293 0.018148 0.078816
Apical-Lumen, ECM strength, Spring Energy, 0.014324 0.018134 0.078430
Apical-Lumen, ECM strength, Spring Energy, 0.014353 0.018121 0.078073
Apical-Lumen, ECM strength, Spring Energy, 0.014381 0.018106 0.077716
Apical-Lumen, ECM strength, Spring Energy, 0.014409 0.018092 0.077365
Apical-Lumen, ECM strength, Spring Energy, 0.014434 0.018078 0.077049
Apical-Lumen, ECM strength, Spring Energy, 0.014457 0.018065 0.076752
Apical-Lumen, ECM strength, Spring Energy, 0.014479 0.018052 0.076457
Apical-Lumen, ECM strength, Spring Energy, 0.014500 0.018038 0.076172
Apical-Lumen, ECM strength, Spring Energy, 0.014520 0.018026 0.075909
Apical-Lumen, ECM strength, Spring Energy, 0.014539 0.018014 0.075653
Apical-Lumen, ECM strength, Spring Energy, 0.014557 0.018003 0.075404
Apical-Lumen, ECM strength, Spring Energy, 0.014573 0.017992 0.075172
Apical-Lumen, ECM strength, Spring Energy, 0.014589 0.017982 0.074955
Apical-Lumen, ECM strength, Spring Energy, 0.014604 0.017972 0.074742
Apical-Lumen, ECM strength, Spring Energy, 0.014618 0.017962 0.074537
Apical-Lumen, ECM strength, Spring Energy, 0.014632 0.017953 0.074341
Apical-Lumen, ECM strength, Spring Energy, 0.014645 0.017945 0.074152
Apical-Lumen, ECM strength, Spring Energy, 0.014657 0.017937 0.073968
Apical-Lumen, ECM strength, Spring Energy, 0.014669 0.017929 0.073790
Apical-Lumen, ECM strength, Spring Energy, 0.014681 0.017922 0.073617
Apical-Lumen, ECM strength, Spring Energy, 0.014693 0.017915 0.073450
Apical-Lumen, ECM strength, Spring Energy, 0.014704 0.017908 0.073287
Apical-Lumen, ECM strength, Spring Energy, 0.014715 0.017902 0.073128
Apical-Lumen, ECM strength, Spring Energy, 0.014725 0.017895 0.072973
Apical-Lumen, ECM strength, Spring Energy, 0.014736 0.017890 0.072821
Apical-Lumen, ECM strength, Spring Energy, 0.014746 0.017884 0.072672
Apical-Lumen, ECM strength, Spring Energy, 0.014756 0.017878 0.072526
Apical-Lumen, ECM strength, Spring Energy, 0.014765 0.017873 0.072383
Apical-Lumen, ECM strength, Spring Energy, 0.014775 0.017868 0.072243
Apical-Lumen, ECM strength, Spring Energy, 0.014784 0.017863 0.072105
Apical-Lumen, ECM strength, Spring Energy, 0.014794 0.017858 0.071969
Apical-Lumen, ECM strength, Spring Energy, 0.014803 0.017853 0.071835
Apical-Lumen, ECM strength, Spring Energy, 0.014812 0.017848 0.071704
Apical-Lumen, ECM strength, Spring Energy, 0.014820 0.017844 0.071574
Apical-Lumen, ECM strength, Spring Energy, 0.014829 0.017839 0.071446
Apical-Lumen, ECM strength, Spring Energy, 0.014837 0.017835 0.071320
Apical-Lumen, ECM strength, Spring Energy, 0.014846 0.017831 0.071195
Apical-Lumen, ECM strength, Spring Energy, 0.014854 0.017826 0.071072
Apical-Lumen, ECM strength, Spring Energy, 0.014862 0.017822 0.070951
Apical-Lumen, ECM strength, Spring Energy, 0.014870 0.017818 0.070831
Apical-Lumen, ECM strength, Spring Energy, 0.014877 0.017814 0.070712
Apical-Lumen, ECM strength, Spring Energy, 0.014885 0.017810 0.070595
Apical-Lumen, ECM strength, Spring Energy, 0.014893 0.017806 0.070479
Apical-Lumen, ECM strength, Spring Energy, 0.014900 0.017802 0.070364
Apical-Lumen, ECM strength, Spring Energy, 0.014907 0.017798 0.070250
Apical-Lumen, ECM strength, Spring Energy, 0.014915 0.017794 0.070137
Apical-Lumen, ECM strength, Spring Energy, 0.014922 0.017790 0.070026
Apical-Lumen, ECM strength, Spring Energy, 0.014929 0.017786 0.069916
Apical-Lumen, ECM strength, Spring Energy, 0.014935 0.017783 0.069806
Apical-Lumen, ECM strength, Spring Energy, 0.014942 0.017779 0.069698
Apical-Lumen, ECM strength, Spring Energy, 0.014949 0.017775 0.069590
Apical-Lumen, ECM strength, Spring Energy, 0.014955 0.017771 0.069484
Apical-Lumen, ECM strength, Spring Energy, 0.014962 0.017768 0.069378
Apical-Lumen, ECM strength, Spring Energy, 0.014968 0.017764 0.069273
Apical-Lumen, ECM strength, Spring Energy, 0.014975 0.017761 0.069169
Apical-Lumen, ECM strength, Spring Energy, 0.014981 0.017757 0.069066
Apical-Lumen, ECM strength, Spring Energy, 0.014987 0.017754 0.068964
Apical-Lumen, ECM strength, Spring Energy, 0.014993 0.017750 0.068862
Apical-Lumen, ECM strength, Spring Energy, 0.014999 0.017747 0.068762
Apical-Lumen, ECM strength, Spring Energy, 0.015005 0.017743 0.068662
Apical-Lumen, ECM strength, Spring Energy, 0.015011 0.017740 0.068562
Apical-Lumen, ECM strength, Spring Energy, 0.015016 0.017737 0.068464
Apical-Lumen, ECM strength, Spring Energy, 0.015022 0.017733 0.068366
Apical-Lumen, ECM strength, Spring Energy, 0.015028 0.017730 0.068269
Apical-Lumen, ECM strength, Spring Energy, 0.015033 0.017727 0.068172
Apical-Lumen, ECM strength, Spring Energy, 0.015039 0.017723 0.068076
Apical-Lumen, ECM strength, Spring Energy, 0.015044 0.017720 0.067980
Apical-Lumen, ECM strength, Spring Energy, 0.015049 0.017717 0.067886
Apical-Lumen, ECM strength, Spring Energy, 0.015054 0.017713 0.067791
Apical-Lumen, ECM strength, Spring Energy, 0.015060 0.017710 0.067698
Apical-Lumen, ECM strength, Spring Energy, 0.015065 0.017707 0.067604
Apical-Lumen, ECM strength, Spring Energy, 0.015070 0.017704 0.067512
Apical-Lumen, ECM strength, Spring Energy, 0.015075 0.017701 0.067420
Apical-Lumen, ECM strength, Spring Energy, 0.015080 0.017698 0.067328
Apical-Lumen, ECM strength, Spring Energy, 0.015084 0.017694 0.067237
Apical-Lumen, ECM strength, Spring Energy, 0.015089 0.017691 0.067147
Apical-Lumen, ECM strength, Spring Energy, 0.015094 0.017688 0.067057
Apical-Lumen, ECM strength, Spring Energy, 0.015099 0.017685 0.066967
Apical-Lumen, ECM strength, Spring Energy, 0.015103 0.017682 0.066878
Apical-Lumen, ECM strength, Spring Energy, 0.015108 0.017679 0.066790
Apical-Lumen, ECM strength, Spring Energy, 0.015112 0.017676 0.066702
Apical-Lumen, ECM strength, Spring Energy, 0.015117 0.017673 0.066615
Apical-Lumen, ECM strength, Spring Energy, 0.015121 0.017670 0.066528
Apical-Lumen, ECM strength, Spring Energy, 0.015125 0.017667 0.066442
Apical-Lumen, ECM strength, Spring Energy, 0.015130 0.017664 0.066356
Apical-Lumen, ECM strength, Spring Energy, 0.015134 0.017661 0.066271
Apical-Lumen, ECM strength, Spring Energy, 0.015138 0.017658 0.066187
Apical-Lumen, ECM strength, Spring Energy, 0.015142 0.017655 0.066103
Apical-Lumen, ECM strength, Spring Energy, 0.015146 0.017652 0.066019
Apical-Lumen, ECM strength, Spring Energy, 0.015150 0.017650 0.065936
Apical-Lumen, ECM strength, Spring Energy, 0.015154 0.017647 0.065854
Apical-Lumen, ECM strength, Spring Energy, 0.015158 0.017644 0.065772
Apical-Lumen, ECM strength, Spring Energy, 0.015162 0.017641 0.065691
Apical-Lumen, ECM strength, Spring Energy, 0.015166 0.017638 0.065610
Apical-Lumen, ECM strength, Spring Energy, 0.015169 0.017636 0.065530
Apical-Lumen, ECM strength, Spring Energy, 0.015173 0.017633 0.065450
Apical-Lumen, ECM strength, Spring Energy, 0.015177 0.017630 0.065371
Apical-Lumen, ECM strength, Spring Energy, 0.015180 0.017627 0.065293
Apical-Lumen, ECM strength, Spring Energy, 0.015184 0.017625 0.065215
Apical-Lumen, ECM strength, Spring Energy, 0.015187 0.017622 0.065138
Apical-Lumen, ECM strength, Spring Energy, 0.015191 0.017619 0.065061
Apical-Lumen, ECM strength, Spring Energy, 0.015194 0.017617 0.064985
Apical-Lumen, ECM strength, Spring Energy, 0.015198 0.017614 0.064909
Apical-Lumen, ECM strength, Spring Energy, 0.015201 0.017612 0.064834
Apical-Lumen, ECM strength, Spring Energy, 0.015204 0.017609 0.064759
Apical-Lumen, ECM strength, Spring Energy, 0.015207 0.017607 0.064685
Apical-Lumen, ECM strength, Spring Energy, 0.015211 0.017604 0.064612
Apical-Lumen, ECM strength, Spring Energy, 0.015214 0.017602 0.064539
Apical-Lumen, ECM strength, Spring Energy, 0.015217 0.017599 0.064466
Apical-Lumen, ECM strength, Spring Energy, 0.015220 0.017597 0.064394
Apical-Lumen, ECM strength, Spring Energy, 0.015223 0.017594 0.064323
Apical-Lumen, ECM strength, Spring Energy, 0.015227 0.017592 0.064252
Apical-Lumen, ECM strength, Spring Energy, 0.015230 0.017590 0.064182
Apical-Lumen, ECM strength, Spring Energy, 0.015233 0.017587 0.064112
Apical-Lumen, ECM strength, Spring Energy, 0.015236 0.017585 0.064042
Apical-Lumen, ECM strength, Spring Energy, 0.015239 0.017583 0.063974
Apical-Lumen, ECM strength, Spring Energy, 0.015242 0.017580 0.063905
Apical-Lumen, ECM strength, Spring Energy, 0.015245 0.017578 0.063838
Apical-Lumen, ECM strength, Spring Energy, 0.015248 0.017576 0.063773
Apical-Lumen, ECM strength, Spring Energy, 0.015251 0.017574 0.063708
Apical-Lumen, ECM strength, Spring Energy, 0.015253 0.017572 0.063644
Apical-Lumen, ECM strength, Spring Energy, 0.015256 0.017570 0.063581
Apical-Lumen, ECM strength, Spring Energy, 0.015259 0.017568 0.063518
Apical-Lumen, ECM strength, Spring Energy, 0.015262 0.017566 0.063455
Apical-Lumen, ECM strength, Spring Energy, 0.015265 0.017564 0.063393
Apical-Lumen, ECM strength, Spring Energy, 0.015267 0.017562 0.063331
Apical-Lumen, ECM strength, Spring Energy, 0.015270 0.017560 0.063269
Apical-Lumen, ECM strength, Spring Energy, 0.015273 0.017558 0.063208
Apical-Lumen, ECM strength, Spring Energy, 0.015276 0.017556 0.063147
Apical-Lumen, ECM strength, Spring Energy, 0.015278 0.017554 0.063087
Apical-Lumen, ECM strength, Spring Energy, 0.015281 0.017552 0.063027
Apical-Lumen, ECM strength, Spring Energy, 0.015284 0.017550 0.062967
Apical-Lumen, ECM strength, Spring Energy, 0.015286 0.017548 0.062908
Apical-Lumen, ECM strength, Spring Energy, 0.015289 0.017546 0.062849
Apical-Lumen, ECM strength, Spring Energy, 0.015292 0.017544 0.062790
Apical-Lumen, ECM strength, Spring Energy, 0.015295 0.017542 0.062732
Apical-Lumen, ECM strength, Spring Energy, 0.015297 0.017540 0.062673
Apical-Lumen, ECM strength, Spring Energy, 0.015300 0.017539 0.062616
Apical-Lumen, ECM strength, Spring Energy, 0.015302 0.017537 0.062558
Apical-Lumen, ECM strength, Spring Energy, 0.015305 0.017535 0.062501
Apical-Lumen, ECM strength, Spring Energy, 0.015308 0.017533 0.062444
Apical-Lumen, ECM strength, Spring Energy, 0.015310 0.017531 0.062388
Apical-Lumen, ECM strength, Spring Energy, 0.015313 0.017530 0.062331
Apical-Lumen, ECM strength, Spring Energy, 0.015316 0.017528 0.062275
Apical-Lumen, ECM strength, Spring Energy, 0.015318 0.017526 0.062220
Apical-Lumen, ECM strength, Spring Energy, 0.015321 0.017524 0.062164
Apical-Lumen, ECM strength, Spring Energy, 0.015323 0.017523 0.062109
Apical-Lumen, ECM strength, Spring Energy, 0.015326 0.017521 0.062054
Apical-Lumen, ECM strength, Spring Energy, 0.015329 0.017519 0.062000
Apical-Lumen, ECM strength, Spring Energy, 0.015331 0.017518 0.061945
Apical-Lumen, ECM strength, Spring Energy, 0.015334 0.017516 0.061891
Apical-Lumen, ECM strength, Spring Energy, 0.015336 0.017514 0.061837
Apical-Lumen, ECM strength, Spring Energy, 0.015339 0.017513 0.061784
Apical-Lumen, ECM strength, Spring Energy, 0.015341 0.017511 0.061730
Apical-Lumen, ECM strength, Spring Energy, 0.015344 0.017509 0.061677
Apical-Lumen, ECM strength, Spring Energy, 0.015346 0.017508 0.061624
Apical-Lumen, ECM strength, Spring Energy, 0.015349 0.017506 0.061572
Apical-Lumen, ECM strength, Spring Energy, 0.015352 0.017504 0.061519
Apical-Lumen, ECM strength, Spring Energy, 0.015354 0.017503 0.061467
Apical-Lumen, ECM strength, Spring Energy, 0.015357 0.017501 0.061415
