Apical-Lumen, ECM strength, Spring Energy, 0.012489 0.003872 0.050555
Apical-Lumen, ECM strength, Spring Energy, 0.012541 0.004467 0.046466
Apical-Lumen, ECM strength, Spring Energy, 0.012658 0.004618 0.045127
Apical-Lumen, ECM strength, Spring Energy, 0.012812 0.004666 0.043788
Apical-Lumen, ECM strength, Spring Energy, 0.012907 0.004647 0.043280
Apical-Lumen, ECM strength, Spring Energy, 0.013000 0.004602 0.042746
Apical-Lumen, ECM strength, Spring Energy, 0.013122 0.004519 0.042111
Apical-Lumen, ECM strength, Spring Energy, 0.013223 0.004447 0.041666
Apical-Lumen, ECM strength, Spring Energy, 0.013295 0.004405 0.041369
Apical-Lumen, ECM strength, Spring Energy, 0.013359 0.004362 0.041090
Apical-Lumen, ECM strength, Spring Energy, 0.013422 0.004323 0.040791
Apical-Lumen, ECM strength, Spring Energy, 0.013468 0.004300 0.040592
Apical-Lumen, ECM strength, Spring Energy, 0.013503 0.004282 0.040430
Apical-Lumen, ECM strength, Spring Energy, 0.013536 0.004261 0.040253
Apical-Lumen, ECM strength, Spring Energy, 0.013570 0.004237 0.040062
Apical-Lumen, ECM strength, Spring Energy, 0.013600 0.004218 0.039902
Apical-Lumen, ECM strength, Spring Energy, 0.013623 0.004203 0.039794
Apical-Lumen, ECM strength, Spring Energy, 0.013642 0.004187 0.039676
Apical-Lumen, ECM strength, Spring Energy, 0.013663 0.004169 0.039549
Apical-Lumen, ECM strength, Spring Energy, 0.013685 0.004149 0.039409
Apical-Lumen, ECM strength, Spring Energy, 0.013710 0.004125 0.039248
Apical-Lumen, ECM strength, Spring Energy, 0.013732 0.004110 0.039135
Apical-Lumen, ECM strength, Spring Energy, 0.013750 0.004095 0.039029
Apical-Lumen, ECM strength, Spring Energy, 0.013769 0.004079 0.038906
Apical-Lumen, ECM strength, Spring Energy, 0.013786 0.004067 0.038817
Apical-Lumen, ECM strength, Spring Energy, 0.013801 0.004055 0.038719
Apical-Lumen, ECM strength, Spring Energy, 0.013818 0.004041 0.038605
Apical-Lumen, ECM strength, Spring Energy, 0.013834 0.004031 0.038513
Apical-Lumen, ECM strength, Spring Energy, 0.013848 0.004022 0.038432
Apical-Lumen, ECM strength, Spring Energy, 0.013862 0.004011 0.038338
Apical-Lumen, ECM strength, Spring Energy, 0.013876 0.004001 0.038238
