Apical-Lumen, ECM strength, Spring Energy, 0.011944 0.001633 0.036609
Apical-Lumen, ECM strength, Spring Energy, 0.011854 0.001870 0.033195
Apical-Lumen, ECM strength, Spring Energy, 0.011848 0.001983 0.032212
Apical-Lumen, ECM strength, Spring Energy, 0.011811 0.002082 0.031288
Apical-Lumen, ECM strength, Spring Energy, 0.011791 0.002124 0.030777
Apical-Lumen, ECM strength, Spring Energy, 0.011768 0.002147 0.030385
Apical-Lumen, ECM strength, Spring Energy, 0.011729 0.002163 0.029943
Apical-Lumen, ECM strength, Spring Energy, 0.011714 0.002172 0.029676
Apical-Lumen, ECM strength, Spring Energy, 0.011689 0.002179 0.029419
Apical-Lumen, ECM strength, Spring Energy, 0.011654 0.002187 0.029125
Apical-Lumen, ECM strength, Spring Energy, 0.011619 0.002195 0.028843
Apical-Lumen, ECM strength, Spring Energy, 0.011595 0.002201 0.028633
Apical-Lumen, ECM strength, Spring Energy, 0.011555 0.002207 0.028385
Apical-Lumen, ECM strength, Spring Energy, 0.011536 0.002211 0.028222
Apical-Lumen, ECM strength, Spring Energy, 0.011509 0.002215 0.028059
Apical-Lumen, ECM strength, Spring Energy, 0.011475 0.002219 0.027868
Apical-Lumen, ECM strength, Spring Energy, 0.011434 0.002222 0.027639
Apical-Lumen, ECM strength, Spring Energy, 0.011420 0.002224 0.027497
Apical-Lumen, ECM strength, Spring Energy, 0.011397 0.002226 0.027345
Apical-Lumen, ECM strength, Spring Energy, 0.011368 0.002227 0.027163
Apical-Lumen, ECM strength, Spring Energy, 0.011348 0.002229 0.026995
Apical-Lumen, ECM strength, Spring Energy, 0.011335 0.002229 0.026856
Apical-Lumen, ECM strength, Spring Energy, 0.011314 0.002230 0.026685
Apical-Lumen, ECM strength, Spring Energy, 0.011299 0.002231 0.026522
Apical-Lumen, ECM strength, Spring Energy, 0.011292 0.002232 0.026388
Apical-Lumen, ECM strength, Spring Energy, 0.011277 0.002232 0.026224
Apical-Lumen, ECM strength, Spring Energy, 0.011271 0.002233 0.026080
Apical-Lumen, ECM strength, Spring Energy, 0.011268 0.002233 0.025953
Apical-Lumen, ECM strength, Spring Energy, 0.011259 0.002233 0.025797
Apical-Lumen, ECM strength, Spring Energy, 0.011255 0.002233 0.025645
Apical-Lumen, ECM strength, Spring Energy, 0.011257 0.002234 0.025521
Apical-Lumen, ECM strength, Spring Energy, 0.011252 0.002234 0.025368
Apical-Lumen, ECM strength, Spring Energy, 0.011255 0.002234 0.025239
