Apical-Lumen, ECM strength, Spring Energy, 0.013385 0.016417 0.068086
Apical-Lumen, ECM strength, Spring Energy, 0.013173 0.016835 0.063760
Apical-Lumen, ECM strength, Spring Energy, 0.013305 0.016991 0.061912
Apical-Lumen, ECM strength, Spring Energy, 0.013439 0.017050 0.060602
Apical-Lumen, ECM strength, Spring Energy, 0.013531 0.017069 0.059865
Apical-Lumen, ECM strength, Spring Energy, 0.013606 0.017075 0.059258
Apical-Lumen, ECM strength, Spring Energy, 0.013680 0.017071 0.058625
Apical-Lumen, ECM strength, Spring Energy, 0.013758 0.017060 0.057993
Apical-Lumen, ECM strength, Spring Energy, 0.013813 0.017051 0.057620
Apical-Lumen, ECM strength, Spring Energy, 0.013860 0.017040 0.057255
Apical-Lumen, ECM strength, Spring Energy, 0.013907 0.017026 0.056887
Apical-Lumen, ECM strength, Spring Energy, 0.013955 0.017009 0.056526
Apical-Lumen, ECM strength, Spring Energy, 0.013995 0.016994 0.056247
Apical-Lumen, ECM strength, Spring Energy, 0.014028 0.016980 0.056009
Apical-Lumen, ECM strength, Spring Energy, 0.014060 0.016965 0.055770
Apical-Lumen, ECM strength, Spring Energy, 0.014092 0.016948 0.055535
Apical-Lumen, ECM strength, Spring Energy, 0.014123 0.016931 0.055310
Apical-Lumen, ECM strength, Spring Energy, 0.014148 0.016917 0.055144
Apical-Lumen, ECM strength, Spring Energy, 0.014170 0.016904 0.054982
Apical-Lumen, ECM strength, Spring Energy, 0.014191 0.016890 0.054821
Apical-Lumen, ECM strength, Spring Energy, 0.014213 0.016876 0.054665
Apical-Lumen, ECM strength, Spring Energy, 0.014233 0.016862 0.054515
Apical-Lumen, ECM strength, Spring Energy, 0.014251 0.016851 0.054388
Apical-Lumen, ECM strength, Spring Energy, 0.014268 0.016840 0.054268
Apical-Lumen, ECM strength, Spring Energy, 0.014284 0.016830 0.054150
Apical-Lumen, ECM strength, Spring Energy, 0.014299 0.016820 0.054038
Apical-Lumen, ECM strength, Spring Energy, 0.014315 0.016810 0.053929
Apical-Lumen, ECM strength, Spring Energy, 0.014329 0.016801 0.053824
Apical-Lumen, ECM strength, Spring Energy, 0.014344 0.016792 0.053723
Apical-Lumen, ECM strength, Spring Energy, 0.014357 0.016784 0.053625
Apical-Lumen, ECM strength, Spring Energy, 0.014371 0.016777 0.053530
Apical-Lumen, ECM strength, Spring Energy, 0.014384 0.016769 0.053437
Apical-Lumen, ECM strength, Spring Energy, 0.014397 0.016762 0.053347
Apical-Lumen, ECM strength, Spring Energy, 0.014410 0.016755 0.053259
