Apical-Lumen, ECM strength, Spring Energy, 0.013397 0.026720 0.034127
Apical-Lumen, ECM strength, Spring Energy, 0.013043 0.026571 0.029201
Apical-Lumen, ECM strength, Spring Energy, 0.013016 0.026566 0.027302
Apical-Lumen, ECM strength, Spring Energy, 0.013068 0.026571 0.026258
Apical-Lumen, ECM strength, Spring Energy, 0.013124 0.026579 0.025747
Apical-Lumen, ECM strength, Spring Energy, 0.013180 0.026578 0.025241
Apical-Lumen, ECM strength, Spring Energy, 0.013239 0.026573 0.024802
Apical-Lumen, ECM strength, Spring Energy, 0.013292 0.026568 0.024472
Apical-Lumen, ECM strength, Spring Energy, 0.013342 0.026559 0.024165
Apical-Lumen, ECM strength, Spring Energy, 0.013387 0.026549 0.023922
Apical-Lumen, ECM strength, Spring Energy, 0.013431 0.026536 0.023686
Apical-Lumen, ECM strength, Spring Energy, 0.013470 0.026522 0.023492
Apical-Lumen, ECM strength, Spring Energy, 0.013507 0.026508 0.023317
Apical-Lumen, ECM strength, Spring Energy, 0.013540 0.026492 0.023160
Apical-Lumen, ECM strength, Spring Energy, 0.013577 0.026472 0.022988
Apical-Lumen, ECM strength, Spring Energy, 0.013608 0.026457 0.022866
Apical-Lumen, ECM strength, Spring Energy, 0.013638 0.026438 0.022730
Apical-Lumen, ECM strength, Spring Energy, 0.013665 0.026423 0.022630
Apical-Lumen, ECM strength, Spring Energy, 0.013690 0.026407 0.022527
Apical-Lumen, ECM strength, Spring Energy, 0.013718 0.026387 0.022411
Apical-Lumen, ECM strength, Spring Energy, 0.013745 0.026370 0.022315
Apical-Lumen, ECM strength, Spring Energy, 0.013768 0.026355 0.022232
Apical-Lumen, ECM strength, Spring Energy, 0.013793 0.026336 0.022137
Apical-Lumen, ECM strength, Spring Energy, 0.013819 0.026317 0.022044
Apical-Lumen, ECM strength, Spring Energy, 0.013842 0.026302 0.021970
Apical-Lumen, ECM strength, Spring Energy, 0.013865 0.026284 0.021885
Apical-Lumen, ECM strength, Spring Energy, 0.013886 0.026270 0.021822
Apical-Lumen, ECM strength, Spring Energy, 0.013906 0.026255 0.021754
Apical-Lumen, ECM strength, Spring Energy, 0.013929 0.026237 0.021678
Apical-Lumen, ECM strength, Spring Energy, 0.013949 0.026223 0.021618
Apical-Lumen, ECM strength, Spring Energy, 0.013967 0.026210 0.021563
Apical-Lumen, ECM strength, Spring Energy, 0.013986 0.026195 0.021501
Apical-Lumen, ECM strength, Spring Energy, 0.014007 0.026179 0.021433
Apical-Lumen, ECM strength, Spring Energy, 0.014026 0.026166 0.021382
Apical-Lumen, ECM strength, Spring Energy, 0.014042 0.026155 0.021336
Apical-Lumen, ECM strength, Spring Energy, 0.014058 0.026142 0.021285
Apical-Lumen, ECM strength, Spring Energy, 0.014077 0.026128 0.021228
Apical-Lumen, ECM strength, Spring Energy, 0.014096 0.026113 0.021172
Apical-Lumen, ECM strength, Spring Energy, 0.014113 0.026102 0.021128
Apical-Lumen, ECM strength, Spring Energy, 0.014130 0.026089 0.021078
Apical-Lumen, ECM strength, Spring Energy, 0.014146 0.026078 0.021034
Apical-Lumen, ECM strength, Spring Energy, 0.014161 0.026067 0.020992
Apical-Lumen, ECM strength, Spring Energy, 0.014177 0.026055 0.020945
Apical-Lumen, ECM strength, Spring Energy, 0.014194 0.026043 0.020901
Apical-Lumen, ECM strength, Spring Energy, 0.014209 0.026033 0.020862
Apical-Lumen, ECM strength, Spring Energy, 0.014224 0.026021 0.020819
Apical-Lumen, ECM strength, Spring Energy, 0.014238 0.026011 0.020782
Apical-Lumen, ECM strength, Spring Energy, 0.014252 0.026002 0.020746
Apical-Lumen, ECM strength, Spring Energy, 0.014266 0.025991 0.020707
Apical-Lumen, ECM strength, Spring Energy, 0.014282 0.025980 0.020666
Apical-Lumen, ECM strength, Spring Energy, 0.014295 0.025972 0.020633
Apical-Lumen, ECM strength, Spring Energy, 0.014308 0.025962 0.020598
Apical-Lumen, ECM strength, Spring Energy, 0.014322 0.025952 0.020561
Apical-Lumen, ECM strength, Spring Energy, 0.014335 0.025943 0.020529
Apical-Lumen, ECM strength, Spring Energy, 0.014348 0.025934 0.020495
Apical-Lumen, ECM strength, Spring Energy, 0.014361 0.025926 0.020464
