Apical-Lumen, ECM strength, Spring Energy, 0.013426 0.015023 0.070704
Apical-Lumen, ECM strength, Spring Energy, 0.013236 0.015494 0.066489
Apical-Lumen, ECM strength, Spring Energy, 0.013375 0.015669 0.064517
Apical-Lumen, ECM strength, Spring Energy, 0.013517 0.015737 0.063085
Apical-Lumen, ECM strength, Spring Energy, 0.013604 0.015758 0.062387
Apical-Lumen, ECM strength, Spring Energy, 0.013678 0.015767 0.061728
Apical-Lumen, ECM strength, Spring Energy, 0.013755 0.015766 0.061032
Apical-Lumen, ECM strength, Spring Energy, 0.013836 0.015759 0.060331
Apical-Lumen, ECM strength, Spring Energy, 0.013895 0.015752 0.059890
Apical-Lumen, ECM strength, Spring Energy, 0.013950 0.015741 0.059435
Apical-Lumen, ECM strength, Spring Energy, 0.014006 0.015726 0.058975
Apical-Lumen, ECM strength, Spring Energy, 0.014050 0.015714 0.058652
Apical-Lumen, ECM strength, Spring Energy, 0.014090 0.015700 0.058329
Apical-Lumen, ECM strength, Spring Energy, 0.014131 0.015683 0.058000
Apical-Lumen, ECM strength, Spring Energy, 0.014173 0.015664 0.057675
Apical-Lumen, ECM strength, Spring Energy, 0.014205 0.015650 0.057440
Apical-Lumen, ECM strength, Spring Energy, 0.014235 0.015635 0.057206
Apical-Lumen, ECM strength, Spring Energy, 0.014265 0.015618 0.056967
Apical-Lumen, ECM strength, Spring Energy, 0.014295 0.015601 0.056728
Apical-Lumen, ECM strength, Spring Energy, 0.014323 0.015584 0.056508
Apical-Lumen, ECM strength, Spring Energy, 0.014347 0.015570 0.056324
Apical-Lumen, ECM strength, Spring Energy, 0.014370 0.015555 0.056138
Apical-Lumen, ECM strength, Spring Energy, 0.014392 0.015541 0.055953
Apical-Lumen, ECM strength, Spring Energy, 0.014413 0.015527 0.055784
Apical-Lumen, ECM strength, Spring Energy, 0.014432 0.015514 0.055628
Apical-Lumen, ECM strength, Spring Energy, 0.014450 0.015502 0.055482
Apical-Lumen, ECM strength, Spring Energy, 0.014466 0.015491 0.055344
Apical-Lumen, ECM strength, Spring Energy, 0.014482 0.015480 0.055209
Apical-Lumen, ECM strength, Spring Energy, 0.014497 0.015470 0.055081
Apical-Lumen, ECM strength, Spring Energy, 0.014512 0.015460 0.054959
Apical-Lumen, ECM strength, Spring Energy, 0.014526 0.015451 0.054840
Apical-Lumen, ECM strength, Spring Energy, 0.014539 0.015442 0.054725
Apical-Lumen, ECM strength, Spring Energy, 0.014552 0.015433 0.054614
Apical-Lumen, ECM strength, Spring Energy, 0.014564 0.015425 0.054506
Apical-Lumen, ECM strength, Spring Energy, 0.014577 0.015418 0.054400
Apical-Lumen, ECM strength, Spring Energy, 0.014589 0.015410 0.054297
Apical-Lumen, ECM strength, Spring Energy, 0.014601 0.015403 0.054196
Apical-Lumen, ECM strength, Spring Energy, 0.014612 0.015397 0.054096
Apical-Lumen, ECM strength, Spring Energy, 0.014623 0.015390 0.053999
Apical-Lumen, ECM strength, Spring Energy, 0.014634 0.015384 0.053905
Apical-Lumen, ECM strength, Spring Energy, 0.014645 0.015377 0.053812
Apical-Lumen, ECM strength, Spring Energy, 0.014655 0.015371 0.053721
Apical-Lumen, ECM strength, Spring Energy, 0.014666 0.015366 0.053631
Apical-Lumen, ECM strength, Spring Energy, 0.014676 0.015360 0.053543
Apical-Lumen, ECM strength, Spring Energy, 0.014686 0.015354 0.053455
Apical-Lumen, ECM strength, Spring Energy, 0.014695 0.015349 0.053369
Apical-Lumen, ECM strength, Spring Energy, 0.014705 0.015343 0.053284
Apical-Lumen, ECM strength, Spring Energy, 0.014714 0.015338 0.053200
Apical-Lumen, ECM strength, Spring Energy, 0.014723 0.015333 0.053118
Apical-Lumen, ECM strength, Spring Energy, 0.014732 0.015328 0.053038
Apical-Lumen, ECM strength, Spring Energy, 0.014741 0.015323 0.052958
Apical-Lumen, ECM strength, Spring Energy, 0.014750 0.015318 0.052879
Apical-Lumen, ECM strength, Spring Energy, 0.014758 0.015313 0.052800
Apical-Lumen, ECM strength, Spring Energy, 0.014766 0.015309 0.052723
Apical-Lumen, ECM strength, Spring Energy, 0.014775 0.015304 0.052646
Apical-Lumen, ECM strength, Spring Energy, 0.014783 0.015299 0.052571
Apical-Lumen, ECM strength, Spring Energy, 0.014790 0.015295 0.052497
Apical-Lumen, ECM strength, Spring Energy, 0.014798 0.015290 0.052424
Apical-Lumen, ECM strength, Spring Energy, 0.014806 0.015286 0.052351
Apical-Lumen, ECM strength, Spring Energy, 0.014813 0.015281 0.052279
Apical-Lumen, ECM strength, Spring Energy, 0.014820 0.015277 0.052207
Apical-Lumen, ECM strength, Spring Energy, 0.014828 0.015273 0.052136
Apical-Lumen, ECM strength, Spring Energy, 0.014835 0.015268 0.052066
Apical-Lumen, ECM strength, Spring Energy, 0.014841 0.015264 0.051998
Apical-Lumen, ECM strength, Spring Energy, 0.014848 0.015260 0.051930
Apical-Lumen, ECM strength, Spring Energy, 0.014855 0.015256 0.051863
Apical-Lumen, ECM strength, Spring Energy, 0.014861 0.015252 0.051796
Apical-Lumen, ECM strength, Spring Energy, 0.014868 0.015248 0.051729
Apical-Lumen, ECM strength, Spring Energy, 0.014874 0.015244 0.051663
Apical-Lumen, ECM strength, Spring Energy, 0.014880 0.015240 0.051598
Apical-Lumen, ECM strength, Spring Energy, 0.014886 0.015236 0.051534
Apical-Lumen, ECM strength, Spring Energy, 0.014892 0.015233 0.051471
Apical-Lumen, ECM strength, Spring Energy, 0.014898 0.015229 0.051408
Apical-Lumen, ECM strength, Spring Energy, 0.014904 0.015225 0.051346
Apical-Lumen, ECM strength, Spring Energy, 0.014909 0.015221 0.051284
Apical-Lumen, ECM strength, Spring Energy, 0.014915 0.015218 0.051222
Apical-Lumen, ECM strength, Spring Energy, 0.014920 0.015214 0.051161
Apical-Lumen, ECM strength, Spring Energy, 0.014926 0.015210 0.051101
Apical-Lumen, ECM strength, Spring Energy, 0.014931 0.015207 0.051041
Apical-Lumen, ECM strength, Spring Energy, 0.014936 0.015203 0.050983
Apical-Lumen, ECM strength, Spring Energy, 0.014941 0.015200 0.050925
Apical-Lumen, ECM strength, Spring Energy, 0.014946 0.015196 0.050867
Apical-Lumen, ECM strength, Spring Energy, 0.014951 0.015193 0.050810
Apical-Lumen, ECM strength, Spring Energy, 0.014955 0.015190 0.050753
Apical-Lumen, ECM strength, Spring Energy, 0.014960 0.015186 0.050696
Apical-Lumen, ECM strength, Spring Energy, 0.014965 0.015183 0.050640
Apical-Lumen, ECM strength, Spring Energy, 0.014969 0.015180 0.050585
Apical-Lumen, ECM strength, Spring Energy, 0.014974 0.015176 0.050531
Apical-Lumen, ECM strength, Spring Energy, 0.014978 0.015173 0.050477
Apical-Lumen, ECM strength, Spring Energy, 0.014982 0.015170 0.050424
Apical-Lumen, ECM strength, Spring Energy, 0.014987 0.015167 0.050370
Apical-Lumen, ECM strength, Spring Energy, 0.014991 0.015164 0.050318
Apical-Lumen, ECM strength, Spring Energy, 0.014995 0.015161 0.050265
Apical-Lumen, ECM strength, Spring Energy, 0.014999 0.015158 0.050213
Apical-Lumen, ECM strength, Spring Energy, 0.015003 0.015155 0.050162
Apical-Lumen, ECM strength, Spring Energy, 0.015007 0.015152 0.050111
Apical-Lumen, ECM strength, Spring Energy, 0.015010 0.015149 0.050061
Apical-Lumen, ECM strength, Spring Energy, 0.015014 0.015146 0.050012
Apical-Lumen, ECM strength, Spring Energy, 0.015018 0.015143 0.049963
Apical-Lumen, ECM strength, Spring Energy, 0.015021 0.015140 0.049914
Apical-Lumen, ECM strength, Spring Energy, 0.015025 0.015137 0.049865
Apical-Lumen, ECM strength, Spring Energy, 0.015029 0.015134 0.049817
Apical-Lumen, ECM strength, Spring Energy, 0.015032 0.015132 0.049770
Apical-Lumen, ECM strength, Spring Energy, 0.015036 0.015129 0.049722
Apical-Lumen, ECM strength, Spring Energy, 0.015039 0.015126 0.049675
Apical-Lumen, ECM strength, Spring Energy, 0.015042 0.015123 0.049629
Apical-Lumen, ECM strength, Spring Energy, 0.015046 0.015121 0.049584
Apical-Lumen, ECM strength, Spring Energy, 0.015049 0.015118 0.049539
Apical-Lumen, ECM strength, Spring Energy, 0.015052 0.015116 0.049494
Apical-Lumen, ECM strength, Spring Energy, 0.015055 0.015113 0.049450
Apical-Lumen, ECM strength, Spring Energy, 0.015058 0.015111 0.049405
Apical-Lumen, ECM strength, Spring Energy, 0.015062 0.015108 0.049361
Apical-Lumen, ECM strength, Spring Energy, 0.015065 0.015106 0.049318
Apical-Lumen, ECM strength, Spring Energy, 0.015068 0.015103 0.049275
Apical-Lumen, ECM strength, Spring Energy, 0.015071 0.015101 0.049232
Apical-Lumen, ECM strength, Spring Energy, 0.015074 0.015098 0.049190
Apical-Lumen, ECM strength, Spring Energy, 0.015077 0.015096 0.049148
Apical-Lumen, ECM strength, Spring Energy, 0.015080 0.015094 0.049107
Apical-Lumen, ECM strength, Spring Energy, 0.015083 0.015091 0.049066
Apical-Lumen, ECM strength, Spring Energy, 0.015086 0.015089 0.049026
Apical-Lumen, ECM strength, Spring Energy, 0.015088 0.015087 0.048985
Apical-Lumen, ECM strength, Spring Energy, 0.015091 0.015084 0.048945
Apical-Lumen, ECM strength, Spring Energy, 0.015094 0.015082 0.048904
Apical-Lumen, ECM strength, Spring Energy, 0.015097 0.015080 0.048865
Apical-Lumen, ECM strength, Spring Energy, 0.015100 0.015078 0.048826
Apical-Lumen, ECM strength, Spring Energy, 0.015103 0.015076 0.048787
Apical-Lumen, ECM strength, Spring Energy, 0.015105 0.015074 0.048749
Apical-Lumen, ECM strength, Spring Energy, 0.015108 0.015071 0.048711
Apical-Lumen, ECM strength, Spring Energy, 0.015111 0.015069 0.048673
