Apical-Lumen, ECM strength, Spring Energy, 0.013953 0.022382 0.051431
Apical-Lumen, ECM strength, Spring Energy, 0.013528 0.022509 0.046621
Apical-Lumen, ECM strength, Spring Energy, 0.013554 0.022552 0.045700
Apical-Lumen, ECM strength, Spring Energy, 0.013612 0.022561 0.045003
Apical-Lumen, ECM strength, Spring Energy, 0.013697 0.022553 0.044216
Apical-Lumen, ECM strength, Spring Energy, 0.013764 0.022552 0.043803
Apical-Lumen, ECM strength, Spring Energy, 0.013822 0.022547 0.043416
Apical-Lumen, ECM strength, Spring Energy, 0.013884 0.022535 0.042990
Apical-Lumen, ECM strength, Spring Energy, 0.013940 0.022526 0.042656
Apical-Lumen, ECM strength, Spring Energy, 0.013987 0.022517 0.042385
Apical-Lumen, ECM strength, Spring Energy, 0.014034 0.022504 0.042087
Apical-Lumen, ECM strength, Spring Energy, 0.014076 0.022494 0.041856
Apical-Lumen, ECM strength, Spring Energy, 0.014111 0.022485 0.041659
Apical-Lumen, ECM strength, Spring Energy, 0.014147 0.022473 0.041447
Apical-Lumen, ECM strength, Spring Energy, 0.014184 0.022460 0.041227
Apical-Lumen, ECM strength, Spring Energy, 0.014214 0.022451 0.041081
Apical-Lumen, ECM strength, Spring Energy, 0.014240 0.022442 0.040928
Apical-Lumen, ECM strength, Spring Energy, 0.014268 0.022431 0.040768
Apical-Lumen, ECM strength, Spring Energy, 0.014298 0.022419 0.040602
Apical-Lumen, ECM strength, Spring Energy, 0.014322 0.022410 0.040483
Apical-Lumen, ECM strength, Spring Energy, 0.014343 0.022402 0.040370
Apical-Lumen, ECM strength, Spring Energy, 0.014364 0.022393 0.040251
Apical-Lumen, ECM strength, Spring Energy, 0.014386 0.022383 0.040129
Apical-Lumen, ECM strength, Spring Energy, 0.014409 0.022373 0.040003
Apical-Lumen, ECM strength, Spring Energy, 0.014429 0.022365 0.039906
Apical-Lumen, ECM strength, Spring Energy, 0.014446 0.022357 0.039816
Apical-Lumen, ECM strength, Spring Energy, 0.014463 0.022349 0.039723
Apical-Lumen, ECM strength, Spring Energy, 0.014481 0.022341 0.039627
Apical-Lumen, ECM strength, Spring Energy, 0.014498 0.022333 0.039531
Apical-Lumen, ECM strength, Spring Energy, 0.014516 0.022324 0.039441
Apical-Lumen, ECM strength, Spring Energy, 0.014530 0.022318 0.039366
Apical-Lumen, ECM strength, Spring Energy, 0.014545 0.022311 0.039288
Apical-Lumen, ECM strength, Spring Energy, 0.014559 0.022303 0.039209
Apical-Lumen, ECM strength, Spring Energy, 0.014573 0.022297 0.039139
Apical-Lumen, ECM strength, Spring Energy, 0.014585 0.022291 0.039074
Apical-Lumen, ECM strength, Spring Energy, 0.014597 0.022284 0.039007
Apical-Lumen, ECM strength, Spring Energy, 0.014610 0.022278 0.038939
Apical-Lumen, ECM strength, Spring Energy, 0.014621 0.022272 0.038879
Apical-Lumen, ECM strength, Spring Energy, 0.014632 0.022267 0.038823
Apical-Lumen, ECM strength, Spring Energy, 0.014643 0.022262 0.038765
Apical-Lumen, ECM strength, Spring Energy, 0.014653 0.022256 0.038707
Apical-Lumen, ECM strength, Spring Energy, 0.014664 0.022251 0.038651
Apical-Lumen, ECM strength, Spring Energy, 0.014673 0.022246 0.038601
Apical-Lumen, ECM strength, Spring Energy, 0.014683 0.022241 0.038550
Apical-Lumen, ECM strength, Spring Energy, 0.014692 0.022237 0.038500
Apical-Lumen, ECM strength, Spring Energy, 0.014701 0.022232 0.038450
Apical-Lumen, ECM strength, Spring Energy, 0.014710 0.022228 0.038404
Apical-Lumen, ECM strength, Spring Energy, 0.014718 0.022224 0.038359
Apical-Lumen, ECM strength, Spring Energy, 0.014727 0.022220 0.038314
Apical-Lumen, ECM strength, Spring Energy, 0.014735 0.022216 0.038269
Apical-Lumen, ECM strength, Spring Energy, 0.014743 0.022212 0.038225
Apical-Lumen, ECM strength, Spring Energy, 0.014751 0.022208 0.038184
Apical-Lumen, ECM strength, Spring Energy, 0.014759 0.022204 0.038143
Apical-Lumen, ECM strength, Spring Energy, 0.014766 0.022201 0.038103
Apical-Lumen, ECM strength, Spring Energy, 0.014774 0.022197 0.038063
Apical-Lumen, ECM strength, Spring Energy, 0.014781 0.022194 0.038023
Apical-Lumen, ECM strength, Spring Energy, 0.014788 0.022190 0.037984
Apical-Lumen, ECM strength, Spring Energy, 0.014796 0.022187 0.037946
Apical-Lumen, ECM strength, Spring Energy, 0.014803 0.022184 0.037910
Apical-Lumen, ECM strength, Spring Energy, 0.014809 0.022181 0.037873
Apical-Lumen, ECM strength, Spring Energy, 0.014816 0.022178 0.037837
Apical-Lumen, ECM strength, Spring Energy, 0.014823 0.022175 0.037801
Apical-Lumen, ECM strength, Spring Energy, 0.014830 0.022172 0.037765
Apical-Lumen, ECM strength, Spring Energy, 0.014837 0.022169 0.037731
Apical-Lumen, ECM strength, Spring Energy, 0.014843 0.022166 0.037697
Apical-Lumen, ECM strength, Spring Energy, 0.014850 0.022163 0.037664
Apical-Lumen, ECM strength, Spring Energy, 0.014856 0.022160 0.037631
Apical-Lumen, ECM strength, Spring Energy, 0.014862 0.022157 0.037598
Apical-Lumen, ECM strength, Spring Energy, 0.014869 0.022155 0.037564
Apical-Lumen, ECM strength, Spring Energy, 0.014875 0.022152 0.037532
Apical-Lumen, ECM strength, Spring Energy, 0.014881 0.022149 0.037501
Apical-Lumen, ECM strength, Spring Energy, 0.014887 0.022147 0.037470
Apical-Lumen, ECM strength, Spring Energy, 0.014893 0.022144 0.037439
Apical-Lumen, ECM strength, Spring Energy, 0.014899 0.022142 0.037409
Apical-Lumen, ECM strength, Spring Energy, 0.014905 0.022139 0.037378
Apical-Lumen, ECM strength, Spring Energy, 0.014911 0.022136 0.037347
Apical-Lumen, ECM strength, Spring Energy, 0.014917 0.022134 0.037317
Apical-Lumen, ECM strength, Spring Energy, 0.014923 0.022132 0.037289
Apical-Lumen, ECM strength, Spring Energy, 0.014928 0.022129 0.037260
Apical-Lumen, ECM strength, Spring Energy, 0.014934 0.022127 0.037231
