Apical-Lumen, ECM strength, Spring Energy, 0.013030 0.008451 0.090537
Apical-Lumen, ECM strength, Spring Energy, 0.012973 0.009031 0.085310
Apical-Lumen, ECM strength, Spring Energy, 0.013086 0.009219 0.082947
Apical-Lumen, ECM strength, Spring Energy, 0.013187 0.009313 0.081178
Apical-Lumen, ECM strength, Spring Energy, 0.013293 0.009374 0.079324
Apical-Lumen, ECM strength, Spring Energy, 0.013373 0.009402 0.078106
Apical-Lumen, ECM strength, Spring Energy, 0.013438 0.009417 0.077108
Apical-Lumen, ECM strength, Spring Energy, 0.013499 0.009424 0.076124
Apical-Lumen, ECM strength, Spring Energy, 0.013559 0.009424 0.075176
Apical-Lumen, ECM strength, Spring Energy, 0.013615 0.009418 0.074283
Apical-Lumen, ECM strength, Spring Energy, 0.013661 0.009412 0.073597
Apical-Lumen, ECM strength, Spring Energy, 0.013699 0.009404 0.072980
Apical-Lumen, ECM strength, Spring Energy, 0.013735 0.009394 0.072374
Apical-Lumen, ECM strength, Spring Energy, 0.013769 0.009383 0.071786
Apical-Lumen, ECM strength, Spring Energy, 0.013801 0.009372 0.071230
Apical-Lumen, ECM strength, Spring Energy, 0.013830 0.009362 0.070716
Apical-Lumen, ECM strength, Spring Energy, 0.013855 0.009352 0.070245
Apical-Lumen, ECM strength, Spring Energy, 0.013877 0.009344 0.069843
Apical-Lumen, ECM strength, Spring Energy, 0.013897 0.009336 0.069464
Apical-Lumen, ECM strength, Spring Energy, 0.013915 0.009329 0.069100
Apical-Lumen, ECM strength, Spring Energy, 0.013933 0.009323 0.068755
Apical-Lumen, ECM strength, Spring Energy, 0.013949 0.009318 0.068431
Apical-Lumen, ECM strength, Spring Energy, 0.013964 0.009313 0.068125
Apical-Lumen, ECM strength, Spring Energy, 0.013978 0.009308 0.067834
Apical-Lumen, ECM strength, Spring Energy, 0.013991 0.009305 0.067555
Apical-Lumen, ECM strength, Spring Energy, 0.014004 0.009301 0.067289
Apical-Lumen, ECM strength, Spring Energy, 0.014016 0.009297 0.067032
Apical-Lumen, ECM strength, Spring Energy, 0.014027 0.009294 0.066784
Apical-Lumen, ECM strength, Spring Energy, 0.014038 0.009291 0.066544
Apical-Lumen, ECM strength, Spring Energy, 0.014049 0.009288 0.066311
Apical-Lumen, ECM strength, Spring Energy, 0.014059 0.009285 0.066085
Apical-Lumen, ECM strength, Spring Energy, 0.014068 0.009282 0.065866
Apical-Lumen, ECM strength, Spring Energy, 0.014077 0.009280 0.065652
Apical-Lumen, ECM strength, Spring Energy, 0.014086 0.009277 0.065443
Apical-Lumen, ECM strength, Spring Energy, 0.014095 0.009274 0.065239
