Apical-Lumen, ECM strength, Spring Energy, 0.013169 0.012586 0.103976
Apical-Lumen, ECM strength, Spring Energy, 0.013189 0.013155 0.098897
Apical-Lumen, ECM strength, Spring Energy, 0.013367 0.013352 0.095920
Apical-Lumen, ECM strength, Spring Energy, 0.013526 0.013433 0.093607
Apical-Lumen, ECM strength, Spring Energy, 0.013646 0.013465 0.091985
Apical-Lumen, ECM strength, Spring Energy, 0.013751 0.013477 0.090563
Apical-Lumen, ECM strength, Spring Energy, 0.013836 0.013475 0.089450
Apical-Lumen, ECM strength, Spring Energy, 0.013919 0.013462 0.088328
Apical-Lumen, ECM strength, Spring Energy, 0.013988 0.013446 0.087445
Apical-Lumen, ECM strength, Spring Energy, 0.014052 0.013427 0.086601
Apical-Lumen, ECM strength, Spring Energy, 0.014117 0.013401 0.085691
Apical-Lumen, ECM strength, Spring Energy, 0.014187 0.013372 0.084730
Apical-Lumen, ECM strength, Spring Energy, 0.014239 0.013351 0.084069
Apical-Lumen, ECM strength, Spring Energy, 0.014288 0.013328 0.083375
Apical-Lumen, ECM strength, Spring Energy, 0.014338 0.013303 0.082637
Apical-Lumen, ECM strength, Spring Energy, 0.014392 0.013275 0.081851
Apical-Lumen, ECM strength, Spring Energy, 0.014434 0.013255 0.081275
Apical-Lumen, ECM strength, Spring Energy, 0.014471 0.013236 0.080724
Apical-Lumen, ECM strength, Spring Energy, 0.014509 0.013216 0.080141
Apical-Lumen, ECM strength, Spring Energy, 0.014547 0.013194 0.079527
Apical-Lumen, ECM strength, Spring Energy, 0.014588 0.013171 0.078878
Apical-Lumen, ECM strength, Spring Energy, 0.014626 0.013150 0.078264
Apical-Lumen, ECM strength, Spring Energy, 0.014659 0.013133 0.077758
Apical-Lumen, ECM strength, Spring Energy, 0.014690 0.013115 0.077223
Apical-Lumen, ECM strength, Spring Energy, 0.014723 0.013097 0.076658
Apical-Lumen, ECM strength, Spring Energy, 0.014755 0.013078 0.076110
Apical-Lumen, ECM strength, Spring Energy, 0.014783 0.013063 0.075634
Apical-Lumen, ECM strength, Spring Energy, 0.014810 0.013047 0.075132
Apical-Lumen, ECM strength, Spring Energy, 0.014838 0.013031 0.074615
Apical-Lumen, ECM strength, Spring Energy, 0.014864 0.013017 0.074169
Apical-Lumen, ECM strength, Spring Energy, 0.014888 0.013003 0.073712
Apical-Lumen, ECM strength, Spring Energy, 0.014912 0.012989 0.073233
Apical-Lumen, ECM strength, Spring Energy, 0.014936 0.012975 0.072785
Apical-Lumen, ECM strength, Spring Energy, 0.014958 0.012963 0.072364
Apical-Lumen, ECM strength, Spring Energy, 0.014979 0.012950 0.071923
Apical-Lumen, ECM strength, Spring Energy, 0.015001 0.012936 0.071468
Apical-Lumen, ECM strength, Spring Energy, 0.015022 0.012925 0.071077
Apical-Lumen, ECM strength, Spring Energy, 0.015041 0.012913 0.070679
Apical-Lumen, ECM strength, Spring Energy, 0.015060 0.012901 0.070263
