Apical-Lumen, ECM strength, Spring Energy, 0.012972 0.013750 0.062978
Apical-Lumen, ECM strength, Spring Energy, 0.012892 0.014414 0.058891
Apical-Lumen, ECM strength, Spring Energy, 0.013046 0.014639 0.057027
Apical-Lumen, ECM strength, Spring Energy, 0.013202 0.014712 0.055717
Apical-Lumen, ECM strength, Spring Energy, 0.013311 0.014728 0.054973
Apical-Lumen, ECM strength, Spring Energy, 0.013417 0.014724 0.054239
Apical-Lumen, ECM strength, Spring Energy, 0.013504 0.014711 0.053680
Apical-Lumen, ECM strength, Spring Energy, 0.013579 0.014695 0.053215
Apical-Lumen, ECM strength, Spring Energy, 0.013661 0.014668 0.052680
Apical-Lumen, ECM strength, Spring Energy, 0.013727 0.014649 0.052307
Apical-Lumen, ECM strength, Spring Energy, 0.013788 0.014625 0.051934
Apical-Lumen, ECM strength, Spring Energy, 0.013845 0.014602 0.051603
Apical-Lumen, ECM strength, Spring Energy, 0.013897 0.014580 0.051306
Apical-Lumen, ECM strength, Spring Energy, 0.013948 0.014555 0.051005
Apical-Lumen, ECM strength, Spring Energy, 0.013992 0.014535 0.050767
Apical-Lumen, ECM strength, Spring Energy, 0.014036 0.014512 0.050509
Apical-Lumen, ECM strength, Spring Energy, 0.014082 0.014487 0.050245
Apical-Lumen, ECM strength, Spring Energy, 0.014124 0.014465 0.050019
Apical-Lumen, ECM strength, Spring Energy, 0.014162 0.014444 0.049802
Apical-Lumen, ECM strength, Spring Energy, 0.014199 0.014423 0.049592
Apical-Lumen, ECM strength, Spring Energy, 0.014237 0.014401 0.049376
Apical-Lumen, ECM strength, Spring Energy, 0.014272 0.014382 0.049181
Apical-Lumen, ECM strength, Spring Energy, 0.014304 0.014363 0.048998
Apical-Lumen, ECM strength, Spring Energy, 0.014336 0.014345 0.048817
Apical-Lumen, ECM strength, Spring Energy, 0.014368 0.014325 0.048625
Apical-Lumen, ECM strength, Spring Energy, 0.014398 0.014308 0.048457
Apical-Lumen, ECM strength, Spring Energy, 0.014427 0.014291 0.048290
Apical-Lumen, ECM strength, Spring Energy, 0.014455 0.014274 0.048124
Apical-Lumen, ECM strength, Spring Energy, 0.014481 0.014258 0.047973
Apical-Lumen, ECM strength, Spring Energy, 0.014507 0.014243 0.047820
Apical-Lumen, ECM strength, Spring Energy, 0.014534 0.014226 0.047653
Apical-Lumen, ECM strength, Spring Energy, 0.014558 0.014213 0.047521
Apical-Lumen, ECM strength, Spring Energy, 0.014581 0.014199 0.047380
Apical-Lumen, ECM strength, Spring Energy, 0.014605 0.014184 0.047225
Apical-Lumen, ECM strength, Spring Energy, 0.014628 0.014170 0.047091
Apical-Lumen, ECM strength, Spring Energy, 0.014648 0.014159 0.046968
Apical-Lumen, ECM strength, Spring Energy, 0.014669 0.014145 0.046832
Apical-Lumen, ECM strength, Spring Energy, 0.014692 0.014131 0.046684
Apical-Lumen, ECM strength, Spring Energy, 0.014713 0.014120 0.046564
Apical-Lumen, ECM strength, Spring Energy, 0.014730 0.014109 0.046455
Apical-Lumen, ECM strength, Spring Energy, 0.014749 0.014098 0.046335
Apical-Lumen, ECM strength, Spring Energy, 0.014768 0.014086 0.046205
Apical-Lumen, ECM strength, Spring Energy, 0.014788 0.014073 0.046070
Apical-Lumen, ECM strength, Spring Energy, 0.014806 0.014064 0.045963
Apical-Lumen, ECM strength, Spring Energy, 0.014823 0.014053 0.045847
Apical-Lumen, ECM strength, Spring Energy, 0.014841 0.014042 0.045730
Apical-Lumen, ECM strength, Spring Energy, 0.014857 0.014033 0.045622
Apical-Lumen, ECM strength, Spring Energy, 0.014874 0.014023 0.045510
Apical-Lumen, ECM strength, Spring Energy, 0.014889 0.014014 0.045407
Apical-Lumen, ECM strength, Spring Energy, 0.014905 0.014004 0.045300
Apical-Lumen, ECM strength, Spring Energy, 0.014920 0.013995 0.045197
Apical-Lumen, ECM strength, Spring Energy, 0.014935 0.013986 0.045096
Apical-Lumen, ECM strength, Spring Energy, 0.014949 0.013977 0.044990
Apical-Lumen, ECM strength, Spring Energy, 0.014963 0.013969 0.044896
Apical-Lumen, ECM strength, Spring Energy, 0.014977 0.013961 0.044799
Apical-Lumen, ECM strength, Spring Energy, 0.014991 0.013952 0.044698
Apical-Lumen, ECM strength, Spring Energy, 0.015004 0.013945 0.044606
Apical-Lumen, ECM strength, Spring Energy, 0.015017 0.013937 0.044511
Apical-Lumen, ECM strength, Spring Energy, 0.015030 0.013929 0.044420
Apical-Lumen, ECM strength, Spring Energy, 0.015042 0.013922 0.044330
Apical-Lumen, ECM strength, Spring Energy, 0.015054 0.013914 0.044238
Apical-Lumen, ECM strength, Spring Energy, 0.015066 0.013907 0.044154
Apical-Lumen, ECM strength, Spring Energy, 0.015077 0.013900 0.044066
Apical-Lumen, ECM strength, Spring Energy, 0.015089 0.013893 0.043981
Apical-Lumen, ECM strength, Spring Energy, 0.015100 0.013887 0.043898
Apical-Lumen, ECM strength, Spring Energy, 0.015111 0.013880 0.043813
Apical-Lumen, ECM strength, Spring Energy, 0.015121 0.013874 0.043734
Apical-Lumen, ECM strength, Spring Energy, 0.015131 0.013867 0.043653
Apical-Lumen, ECM strength, Spring Energy, 0.015142 0.013861 0.043573
