Apical-Lumen, ECM strength, Spring Energy, 0.013136 0.007857 0.101327
Apical-Lumen, ECM strength, Spring Energy, 0.013165 0.008513 0.095464
Apical-Lumen, ECM strength, Spring Energy, 0.013344 0.008724 0.091824
Apical-Lumen, ECM strength, Spring Energy, 0.013481 0.008794 0.089404
Apical-Lumen, ECM strength, Spring Energy, 0.013597 0.008820 0.087376
Apical-Lumen, ECM strength, Spring Energy, 0.013701 0.008819 0.085537
Apical-Lumen, ECM strength, Spring Energy, 0.013787 0.008806 0.084077
Apical-Lumen, ECM strength, Spring Energy, 0.013878 0.008781 0.082372
Apical-Lumen, ECM strength, Spring Energy, 0.013941 0.008764 0.081291
Apical-Lumen, ECM strength, Spring Energy, 0.013996 0.008746 0.080263
Apical-Lumen, ECM strength, Spring Energy, 0.014051 0.008725 0.079138
Apical-Lumen, ECM strength, Spring Energy, 0.014108 0.008702 0.077908
Apical-Lumen, ECM strength, Spring Energy, 0.014162 0.008680 0.076738
Apical-Lumen, ECM strength, Spring Energy, 0.014206 0.008663 0.075779
Apical-Lumen, ECM strength, Spring Energy, 0.014250 0.008644 0.074729
Apical-Lumen, ECM strength, Spring Energy, 0.014289 0.008627 0.073768
Apical-Lumen, ECM strength, Spring Energy, 0.014324 0.008613 0.072906
Apical-Lumen, ECM strength, Spring Energy, 0.014359 0.008597 0.071969
Apical-Lumen, ECM strength, Spring Energy, 0.014392 0.008582 0.071070
Apical-Lumen, ECM strength, Spring Energy, 0.014421 0.008569 0.070280
Apical-Lumen, ECM strength, Spring Energy, 0.014449 0.008555 0.069425
Apical-Lumen, ECM strength, Spring Energy, 0.014475 0.008543 0.068690
Apical-Lumen, ECM strength, Spring Energy, 0.014499 0.008532 0.067983
Apical-Lumen, ECM strength, Spring Energy, 0.014523 0.008519 0.067222
Apical-Lumen, ECM strength, Spring Energy, 0.014548 0.008505 0.066402
Apical-Lumen, ECM strength, Spring Energy, 0.014570 0.008495 0.065805
Apical-Lumen, ECM strength, Spring Energy, 0.014589 0.008485 0.065206
Apical-Lumen, ECM strength, Spring Energy, 0.014608 0.008474 0.064564
Apical-Lumen, ECM strength, Spring Energy, 0.014628 0.008462 0.063874
Apical-Lumen, ECM strength, Spring Energy, 0.014650 0.008449 0.063144
Apical-Lumen, ECM strength, Spring Energy, 0.014669 0.008439 0.062606
Apical-Lumen, ECM strength, Spring Energy, 0.014686 0.008429 0.062040
Apical-Lumen, ECM strength, Spring Energy, 0.014704 0.008417 0.061431
Apical-Lumen, ECM strength, Spring Energy, 0.014723 0.008405 0.060774
Apical-Lumen, ECM strength, Spring Energy, 0.014740 0.008396 0.060286
Apical-Lumen, ECM strength, Spring Energy, 0.014755 0.008387 0.059806
Apical-Lumen, ECM strength, Spring Energy, 0.014771 0.008377 0.059291
Apical-Lumen, ECM strength, Spring Energy, 0.014787 0.008366 0.058737
Apical-Lumen, ECM strength, Spring Energy, 0.014805 0.008355 0.058140
Apical-Lumen, ECM strength, Spring Energy, 0.014821 0.008347 0.057706
Apical-Lumen, ECM strength, Spring Energy, 0.014835 0.008339 0.057274
Apical-Lumen, ECM strength, Spring Energy, 0.014849 0.008330 0.056811
Apical-Lumen, ECM strength, Spring Energy, 0.014865 0.008320 0.056313
Apical-Lumen, ECM strength, Spring Energy, 0.014881 0.008309 0.055775
Apical-Lumen, ECM strength, Spring Energy, 0.014897 0.008301 0.055372
Apical-Lumen, ECM strength, Spring Energy, 0.014911 0.008294 0.054980
Apical-Lumen, ECM strength, Spring Energy, 0.014924 0.008286 0.054559
Apical-Lumen, ECM strength, Spring Energy, 0.014939 0.008277 0.054106
Apical-Lumen, ECM strength, Spring Energy, 0.014956 0.008267 0.053615
Apical-Lumen, ECM strength, Spring Energy, 0.014971 0.008260 0.053248
Apical-Lumen, ECM strength, Spring Energy, 0.014985 0.008254 0.052891
Apical-Lumen, ECM strength, Spring Energy, 0.014998 0.008246 0.052506
Apical-Lumen, ECM strength, Spring Energy, 0.015013 0.008238 0.052091
Apical-Lumen, ECM strength, Spring Energy, 0.015029 0.008229 0.051640
Apical-Lumen, ECM strength, Spring Energy, 0.015044 0.008223 0.051306
Apical-Lumen, ECM strength, Spring Energy, 0.015057 0.008217 0.050978
Apical-Lumen, ECM strength, Spring Energy, 0.015070 0.008210 0.050625
Apical-Lumen, ECM strength, Spring Energy, 0.015085 0.008202 0.050243
Apical-Lumen, ECM strength, Spring Energy, 0.015101 0.008194 0.049827
Apical-Lumen, ECM strength, Spring Energy, 0.015116 0.008188 0.049521
Apical-Lumen, ECM strength, Spring Energy, 0.015128 0.008183 0.049220
Apical-Lumen, ECM strength, Spring Energy, 0.015142 0.008177 0.048894
Apical-Lumen, ECM strength, Spring Energy, 0.015156 0.008170 0.048541
Apical-Lumen, ECM strength, Spring Energy, 0.015172 0.008162 0.048156
Apical-Lumen, ECM strength, Spring Energy, 0.015186 0.008157 0.047876
Apical-Lumen, ECM strength, Spring Energy, 0.015198 0.008152 0.047597
Apical-Lumen, ECM strength, Spring Energy, 0.015211 0.008146 0.047295
Apical-Lumen, ECM strength, Spring Energy, 0.015225 0.008140 0.046967
Apical-Lumen, ECM strength, Spring Energy, 0.015241 0.008133 0.046610
Apical-Lumen, ECM strength, Spring Energy, 0.015255 0.008129 0.046352
Apical-Lumen, ECM strength, Spring Energy, 0.015267 0.008124 0.046093
Apical-Lumen, ECM strength, Spring Energy, 0.015280 0.008119 0.045812
Apical-Lumen, ECM strength, Spring Energy, 0.015293 0.008113 0.045506
Apical-Lumen, ECM strength, Spring Energy, 0.015308 0.008107 0.045173
Apical-Lumen, ECM strength, Spring Energy, 0.015322 0.008103 0.044936
Apical-Lumen, ECM strength, Spring Energy, 0.015334 0.008098 0.044691
Apical-Lumen, ECM strength, Spring Energy, 0.015346 0.008094 0.044424
Apical-Lumen, ECM strength, Spring Energy, 0.015360 0.008088 0.044133
Apical-Lumen, ECM strength, Spring Energy, 0.015375 0.008083 0.043830
Apical-Lumen, ECM strength, Spring Energy, 0.015388 0.008079 0.043588
Apical-Lumen, ECM strength, Spring Energy, 0.015401 0.008074 0.043322
Apical-Lumen, ECM strength, Spring Energy, 0.015414 0.008069 0.043067
Apical-Lumen, ECM strength, Spring Energy, 0.015427 0.008065 0.042824
Apical-Lumen, ECM strength, Spring Energy, 0.015440 0.008060 0.042558
Apical-Lumen, ECM strength, Spring Energy, 0.015453 0.008057 0.042337
Apical-Lumen, ECM strength, Spring Energy, 0.015465 0.008053 0.042111
Apical-Lumen, ECM strength, Spring Energy, 0.015477 0.008049 0.041864
Apical-Lumen, ECM strength, Spring Energy, 0.015491 0.008044 0.041592
Apical-Lumen, ECM strength, Spring Energy, 0.015503 0.008041 0.041395
Apical-Lumen, ECM strength, Spring Energy, 0.015514 0.008038 0.041197
Apical-Lumen, ECM strength, Spring Energy, 0.015525 0.008034 0.040982
Apical-Lumen, ECM strength, Spring Energy, 0.015537 0.008030 0.040746
Apical-Lumen, ECM strength, Spring Energy, 0.015550 0.008026 0.040490
Apical-Lumen, ECM strength, Spring Energy, 0.015563 0.008023 0.040302
Apical-Lumen, ECM strength, Spring Energy, 0.015573 0.008019 0.040100
Apical-Lumen, ECM strength, Spring Energy, 0.015585 0.008016 0.039877
Apical-Lumen, ECM strength, Spring Energy, 0.015598 0.008012 0.039637
Apical-Lumen, ECM strength, Spring Energy, 0.015610 0.008009 0.039454
Apical-Lumen, ECM strength, Spring Energy, 0.015621 0.008006 0.039255
Apical-Lumen, ECM strength, Spring Energy, 0.015633 0.008002 0.039035
Apical-Lumen, ECM strength, Spring Energy, 0.015644 0.007999 0.038851
Apical-Lumen, ECM strength, Spring Energy, 0.015654 0.007997 0.038674
Apical-Lumen, ECM strength, Spring Energy, 0.015665 0.007994 0.038479
Apical-Lumen, ECM strength, Spring Energy, 0.015677 0.007990 0.038263
Apical-Lumen, ECM strength, Spring Energy, 0.015689 0.007987 0.038069
Apical-Lumen, ECM strength, Spring Energy, 0.015699 0.007985 0.037904
Apical-Lumen, ECM strength, Spring Energy, 0.015709 0.007982 0.037720
Apical-Lumen, ECM strength, Spring Energy, 0.015721 0.007979 0.037516
Apical-Lumen, ECM strength, Spring Energy, 0.015732 0.007976 0.037327
Apical-Lumen, ECM strength, Spring Energy, 0.015743 0.007974 0.037168
Apical-Lumen, ECM strength, Spring Energy, 0.015753 0.007971 0.036990
Apical-Lumen, ECM strength, Spring Energy, 0.015764 0.007968 0.036792
Apical-Lumen, ECM strength, Spring Energy, 0.015775 0.007966 0.036640
Apical-Lumen, ECM strength, Spring Energy, 0.015784 0.007964 0.036494
Apical-Lumen, ECM strength, Spring Energy, 0.015793 0.007962 0.036332
Apical-Lumen, ECM strength, Spring Energy, 0.015803 0.007959 0.036153
Apical-Lumen, ECM strength, Spring Energy, 0.015814 0.007956 0.035973
Apical-Lumen, ECM strength, Spring Energy, 0.015824 0.007954 0.035824
Apical-Lumen, ECM strength, Spring Energy, 0.015834 0.007952 0.035656
