Apical-Lumen, ECM strength, Spring Energy, 0.012796 0.019216 0.022478
Apical-Lumen, ECM strength, Spring Energy, 0.012896 0.019436 0.020383
Apical-Lumen, ECM strength, Spring Energy, 0.012934 0.019537 0.019718
Apical-Lumen, ECM strength, Spring Energy, 0.012974 0.019588 0.019323
Apical-Lumen, ECM strength, Spring Energy, 0.013020 0.019615 0.019046
Apical-Lumen, ECM strength, Spring Energy, 0.013066 0.019629 0.018827
Apical-Lumen, ECM strength, Spring Energy, 0.013111 0.019638 0.018649
Apical-Lumen, ECM strength, Spring Energy, 0.013151 0.019642 0.018513
Apical-Lumen, ECM strength, Spring Energy, 0.013188 0.019644 0.018392
Apical-Lumen, ECM strength, Spring Energy, 0.013218 0.019646 0.018303
Apical-Lumen, ECM strength, Spring Energy, 0.013247 0.019645 0.018209
Apical-Lumen, ECM strength, Spring Energy, 0.013271 0.019645 0.018147
Apical-Lumen, ECM strength, Spring Energy, 0.013292 0.019645 0.018085
Apical-Lumen, ECM strength, Spring Energy, 0.013313 0.019643 0.018016
Apical-Lumen, ECM strength, Spring Energy, 0.013334 0.019642 0.017960
Apical-Lumen, ECM strength, Spring Energy, 0.013353 0.019641 0.017912
Apical-Lumen, ECM strength, Spring Energy, 0.013371 0.019639 0.017859
Apical-Lumen, ECM strength, Spring Energy, 0.013389 0.019637 0.017809
Apical-Lumen, ECM strength, Spring Energy, 0.013405 0.019636 0.017771
Apical-Lumen, ECM strength, Spring Energy, 0.013421 0.019634 0.017729
Apical-Lumen, ECM strength, Spring Energy, 0.013435 0.019633 0.017692
Apical-Lumen, ECM strength, Spring Energy, 0.013449 0.019632 0.017659
Apical-Lumen, ECM strength, Spring Energy, 0.013462 0.019630 0.017624
Apical-Lumen, ECM strength, Spring Energy, 0.013476 0.019629 0.017589
Apical-Lumen, ECM strength, Spring Energy, 0.013488 0.019628 0.017563
Apical-Lumen, ECM strength, Spring Energy, 0.013499 0.019627 0.017536
Apical-Lumen, ECM strength, Spring Energy, 0.013510 0.019626 0.017509
Apical-Lumen, ECM strength, Spring Energy, 0.013521 0.019625 0.017480
Apical-Lumen, ECM strength, Spring Energy, 0.013533 0.019623 0.017451
Apical-Lumen, ECM strength, Spring Energy, 0.013545 0.019622 0.017424
Apical-Lumen, ECM strength, Spring Energy, 0.013555 0.019621 0.017402
Apical-Lumen, ECM strength, Spring Energy, 0.013565 0.019620 0.017378
Apical-Lumen, ECM strength, Spring Energy, 0.013575 0.019620 0.017355
Apical-Lumen, ECM strength, Spring Energy, 0.013585 0.019619 0.017331
Apical-Lumen, ECM strength, Spring Energy, 0.013595 0.019618 0.017311
Apical-Lumen, ECM strength, Spring Energy, 0.013604 0.019617 0.017291
Apical-Lumen, ECM strength, Spring Energy, 0.013613 0.019616 0.017270
Apical-Lumen, ECM strength, Spring Energy, 0.013622 0.019615 0.017250
Apical-Lumen, ECM strength, Spring Energy, 0.013631 0.019614 0.017230
Apical-Lumen, ECM strength, Spring Energy, 0.013640 0.019613 0.017210
Apical-Lumen, ECM strength, Spring Energy, 0.013649 0.019613 0.017192
Apical-Lumen, ECM strength, Spring Energy, 0.013657 0.019612 0.017175
Apical-Lumen, ECM strength, Spring Energy, 0.013664 0.019611 0.017158
Apical-Lumen, ECM strength, Spring Energy, 0.013672 0.019610 0.017141
Apical-Lumen, ECM strength, Spring Energy, 0.013680 0.019609 0.017124
Apical-Lumen, ECM strength, Spring Energy, 0.013689 0.019609 0.017106
Apical-Lumen, ECM strength, Spring Energy, 0.013697 0.019608 0.017087
Apical-Lumen, ECM strength, Spring Energy, 0.013704 0.019607 0.017074
Apical-Lumen, ECM strength, Spring Energy, 0.013711 0.019606 0.017060
Apical-Lumen, ECM strength, Spring Energy, 0.013718 0.019606 0.017045
Apical-Lumen, ECM strength, Spring Energy, 0.013724 0.019605 0.017030
Apical-Lumen, ECM strength, Spring Energy, 0.013731 0.019604 0.017015
Apical-Lumen, ECM strength, Spring Energy, 0.013739 0.019603 0.017000
Apical-Lumen, ECM strength, Spring Energy, 0.013746 0.019602 0.016985
Apical-Lumen, ECM strength, Spring Energy, 0.013753 0.019601 0.016970
Apical-Lumen, ECM strength, Spring Energy, 0.013760 0.019601 0.016955
Apical-Lumen, ECM strength, Spring Energy, 0.013766 0.019600 0.016942
Apical-Lumen, ECM strength, Spring Energy, 0.013772 0.019599 0.016930
Apical-Lumen, ECM strength, Spring Energy, 0.013778 0.019598 0.016918
Apical-Lumen, ECM strength, Spring Energy, 0.013784 0.019598 0.016905
Apical-Lumen, ECM strength, Spring Energy, 0.013790 0.019597 0.016893
Apical-Lumen, ECM strength, Spring Energy, 0.013796 0.019596 0.016880
Apical-Lumen, ECM strength, Spring Energy, 0.013802 0.019595 0.016868
Apical-Lumen, ECM strength, Spring Energy, 0.013808 0.019595 0.016855
Apical-Lumen, ECM strength, Spring Energy, 0.013814 0.019594 0.016843
Apical-Lumen, ECM strength, Spring Energy, 0.013820 0.019593 0.016831
Apical-Lumen, ECM strength, Spring Energy, 0.013825 0.019592 0.016818
Apical-Lumen, ECM strength, Spring Energy, 0.013831 0.019592 0.016808
Apical-Lumen, ECM strength, Spring Energy, 0.013836 0.019591 0.016797
Apical-Lumen, ECM strength, Spring Energy, 0.013841 0.019590 0.016787
Apical-Lumen, ECM strength, Spring Energy, 0.013845 0.019590 0.016777
Apical-Lumen, ECM strength, Spring Energy, 0.013850 0.019589 0.016767
Apical-Lumen, ECM strength, Spring Energy, 0.013855 0.019588 0.016757
Apical-Lumen, ECM strength, Spring Energy, 0.013860 0.019587 0.016746
Apical-Lumen, ECM strength, Spring Energy, 0.013865 0.019587 0.016736
Apical-Lumen, ECM strength, Spring Energy, 0.013870 0.019586 0.016726
Apical-Lumen, ECM strength, Spring Energy, 0.013875 0.019585 0.016715
Apical-Lumen, ECM strength, Spring Energy, 0.013879 0.019585 0.016705
Apical-Lumen, ECM strength, Spring Energy, 0.013884 0.019584 0.016695
Apical-Lumen, ECM strength, Spring Energy, 0.013889 0.019583 0.016684
Apical-Lumen, ECM strength, Spring Energy, 0.013894 0.019582 0.016676
Apical-Lumen, ECM strength, Spring Energy, 0.013897 0.019582 0.016668
Apical-Lumen, ECM strength, Spring Energy, 0.013901 0.019581 0.016659
Apical-Lumen, ECM strength, Spring Energy, 0.013905 0.019581 0.016651
Apical-Lumen, ECM strength, Spring Energy, 0.013909 0.019580 0.016643
Apical-Lumen, ECM strength, Spring Energy, 0.013913 0.019579 0.016634
Apical-Lumen, ECM strength, Spring Energy, 0.013917 0.019579 0.016626
Apical-Lumen, ECM strength, Spring Energy, 0.013921 0.019578 0.016618
Apical-Lumen, ECM strength, Spring Energy, 0.013925 0.019578 0.016609
Apical-Lumen, ECM strength, Spring Energy, 0.013929 0.019577 0.016601
Apical-Lumen, ECM strength, Spring Energy, 0.013933 0.019576 0.016592
Apical-Lumen, ECM strength, Spring Energy, 0.013937 0.019576 0.016584
Apical-Lumen, ECM strength, Spring Energy, 0.013940 0.019575 0.016575
Apical-Lumen, ECM strength, Spring Energy, 0.013944 0.019574 0.016567
Apical-Lumen, ECM strength, Spring Energy, 0.013948 0.019574 0.016560
Apical-Lumen, ECM strength, Spring Energy, 0.013951 0.019573 0.016553
Apical-Lumen, ECM strength, Spring Energy, 0.013954 0.019573 0.016546
Apical-Lumen, ECM strength, Spring Energy, 0.013957 0.019572 0.016539
Apical-Lumen, ECM strength, Spring Energy, 0.013961 0.019572 0.016533
Apical-Lumen, ECM strength, Spring Energy, 0.013964 0.019571 0.016526
Apical-Lumen, ECM strength, Spring Energy, 0.013967 0.019571 0.016519
Apical-Lumen, ECM strength, Spring Energy, 0.013970 0.019570 0.016512
Apical-Lumen, ECM strength, Spring Energy, 0.013973 0.019570 0.016505
Apical-Lumen, ECM strength, Spring Energy, 0.013976 0.019569 0.016498
Apical-Lumen, ECM strength, Spring Energy, 0.013979 0.019569 0.016492
Apical-Lumen, ECM strength, Spring Energy, 0.013982 0.019568 0.016485
Apical-Lumen, ECM strength, Spring Energy, 0.013986 0.019568 0.016478
Apical-Lumen, ECM strength, Spring Energy, 0.013989 0.019567 0.016471
Apical-Lumen, ECM strength, Spring Energy, 0.013992 0.019567 0.016464
Apical-Lumen, ECM strength, Spring Energy, 0.013995 0.019566 0.016457
Apical-Lumen, ECM strength, Spring Energy, 0.013998 0.019566 0.016451
Apical-Lumen, ECM strength, Spring Energy, 0.014000 0.019566 0.016446
Apical-Lumen, ECM strength, Spring Energy, 0.014003 0.019565 0.016440
Apical-Lumen, ECM strength, Spring Energy, 0.014005 0.019565 0.016435
Apical-Lumen, ECM strength, Spring Energy, 0.014008 0.019564 0.016429
Apical-Lumen, ECM strength, Spring Energy, 0.014010 0.019564 0.016424
Apical-Lumen, ECM strength, Spring Energy, 0.014013 0.019564 0.016418
Apical-Lumen, ECM strength, Spring Energy, 0.014015 0.019563 0.016413
Apical-Lumen, ECM strength, Spring Energy, 0.014018 0.019563 0.016407
Apical-Lumen, ECM strength, Spring Energy, 0.014020 0.019562 0.016402
Apical-Lumen, ECM strength, Spring Energy, 0.014023 0.019562 0.016396
Apical-Lumen, ECM strength, Spring Energy, 0.014025 0.019562 0.016391
Apical-Lumen, ECM strength, Spring Energy, 0.014028 0.019561 0.016385
Apical-Lumen, ECM strength, Spring Energy, 0.014030 0.019561 0.016380
Apical-Lumen, ECM strength, Spring Energy, 0.014033 0.019560 0.016375
Apical-Lumen, ECM strength, Spring Energy, 0.014035 0.019560 0.016369
Apical-Lumen, ECM strength, Spring Energy, 0.014038 0.019560 0.016364
Apical-Lumen, ECM strength, Spring Energy, 0.014040 0.019559 0.016358
Apical-Lumen, ECM strength, Spring Energy, 0.014043 0.019559 0.016353
Apical-Lumen, ECM strength, Spring Energy, 0.014045 0.019558 0.016349
Apical-Lumen, ECM strength, Spring Energy, 0.014047 0.019558 0.016344
Apical-Lumen, ECM strength, Spring Energy, 0.014049 0.019558 0.016340
Apical-Lumen, ECM strength, Spring Energy, 0.014051 0.019558 0.016335
Apical-Lumen, ECM strength, Spring Energy, 0.014053 0.019557 0.016331
Apical-Lumen, ECM strength, Spring Energy, 0.014055 0.019557 0.016327
Apical-Lumen, ECM strength, Spring Energy, 0.014057 0.019557 0.016322
Apical-Lumen, ECM strength, Spring Energy, 0.014059 0.019556 0.016318
Apical-Lumen, ECM strength, Spring Energy, 0.014061 0.019556 0.016313
Apical-Lumen, ECM strength, Spring Energy, 0.014063 0.019556 0.016309
Apical-Lumen, ECM strength, Spring Energy, 0.014065 0.019555 0.016305
Apical-Lumen, ECM strength, Spring Energy, 0.014066 0.019555 0.016301
Apical-Lumen, ECM strength, Spring Energy, 0.014068 0.019555 0.016296
Apical-Lumen, ECM strength, Spring Energy, 0.014070 0.019555 0.016292
Apical-Lumen, ECM strength, Spring Energy, 0.014072 0.019554 0.016288
Apical-Lumen, ECM strength, Spring Energy, 0.014074 0.019554 0.016284
Apical-Lumen, ECM strength, Spring Energy, 0.014076 0.019554 0.016279
Apical-Lumen, ECM strength, Spring Energy, 0.014078 0.019553 0.016275
Apical-Lumen, ECM strength, Spring Energy, 0.014080 0.019553 0.016271
Apical-Lumen, ECM strength, Spring Energy, 0.014082 0.019553 0.016267
Apical-Lumen, ECM strength, Spring Energy, 0.014084 0.019553 0.016263
Apical-Lumen, ECM strength, Spring Energy, 0.014086 0.019552 0.016259
Apical-Lumen, ECM strength, Spring Energy, 0.014087 0.019552 0.016254
Apical-Lumen, ECM strength, Spring Energy, 0.014089 0.019552 0.016251
Apical-Lumen, ECM strength, Spring Energy, 0.014091 0.019552 0.016248
Apical-Lumen, ECM strength, Spring Energy, 0.014092 0.019551 0.016244
Apical-Lumen, ECM strength, Spring Energy, 0.014094 0.019551 0.016241
Apical-Lumen, ECM strength, Spring Energy, 0.014095 0.019551 0.016237
Apical-Lumen, ECM strength, Spring Energy, 0.014097 0.019551 0.016234
Apical-Lumen, ECM strength, Spring Energy, 0.014099 0.019550 0.016230
Apical-Lumen, ECM strength, Spring Energy, 0.014100 0.019550 0.016227
Apical-Lumen, ECM strength, Spring Energy, 0.014102 0.019550 0.016224
Apical-Lumen, ECM strength, Spring Energy, 0.014103 0.019550 0.016220
Apical-Lumen, ECM strength, Spring Energy, 0.014105 0.019550 0.016217
Apical-Lumen, ECM strength, Spring Energy, 0.014106 0.019549 0.016213
Apical-Lumen, ECM strength, Spring Energy, 0.014108 0.019549 0.016210
Apical-Lumen, ECM strength, Spring Energy, 0.014109 0.019549 0.016207
Apical-Lumen, ECM strength, Spring Energy, 0.014111 0.019549 0.016204
Apical-Lumen, ECM strength, Spring Energy, 0.014112 0.019548 0.016200
Apical-Lumen, ECM strength, Spring Energy, 0.014114 0.019548 0.016197
Apical-Lumen, ECM strength, Spring Energy, 0.014115 0.019548 0.016194
Apical-Lumen, ECM strength, Spring Energy, 0.014117 0.019548 0.016190
Apical-Lumen, ECM strength, Spring Energy, 0.014118 0.019548 0.016187
Apical-Lumen, ECM strength, Spring Energy, 0.014120 0.019547 0.016184
Apical-Lumen, ECM strength, Spring Energy, 0.014121 0.019547 0.016181
Apical-Lumen, ECM strength, Spring Energy, 0.014123 0.019547 0.016178
Apical-Lumen, ECM strength, Spring Energy, 0.014124 0.019547 0.016174
Apical-Lumen, ECM strength, Spring Energy, 0.014125 0.019547 0.016171
Apical-Lumen, ECM strength, Spring Energy, 0.014127 0.019546 0.016168
Apical-Lumen, ECM strength, Spring Energy, 0.014128 0.019546 0.016165
Apical-Lumen, ECM strength, Spring Energy, 0.014130 0.019546 0.016162
Apical-Lumen, ECM strength, Spring Energy, 0.014131 0.019546 0.016159
Apical-Lumen, ECM strength, Spring Energy, 0.014132 0.019546 0.016156
Apical-Lumen, ECM strength, Spring Energy, 0.014134 0.019546 0.016153
Apical-Lumen, ECM strength, Spring Energy, 0.014135 0.019545 0.016151
Apical-Lumen, ECM strength, Spring Energy, 0.014136 0.019545 0.016148
Apical-Lumen, ECM strength, Spring Energy, 0.014137 0.019545 0.016145
Apical-Lumen, ECM strength, Spring Energy, 0.014139 0.019545 0.016143
Apical-Lumen, ECM strength, Spring Energy, 0.014140 0.019545 0.016140
Apical-Lumen, ECM strength, Spring Energy, 0.014141 0.019545 0.016137
Apical-Lumen, ECM strength, Spring Energy, 0.014142 0.019544 0.016135
Apical-Lumen, ECM strength, Spring Energy, 0.014143 0.019544 0.016132
Apical-Lumen, ECM strength, Spring Energy, 0.014145 0.019544 0.016129
Apical-Lumen, ECM strength, Spring Energy, 0.014146 0.019544 0.016127
Apical-Lumen, ECM strength, Spring Energy, 0.014147 0.019544 0.016124
Apical-Lumen, ECM strength, Spring Energy, 0.014148 0.019544 0.016122
Apical-Lumen, ECM strength, Spring Energy, 0.014149 0.019543 0.016119
Apical-Lumen, ECM strength, Spring Energy, 0.014151 0.019543 0.016116
Apical-Lumen, ECM strength, Spring Energy, 0.014152 0.019543 0.016114
Apical-Lumen, ECM strength, Spring Energy, 0.014153 0.019543 0.016111
Apical-Lumen, ECM strength, Spring Energy, 0.014154 0.019543 0.016109
Apical-Lumen, ECM strength, Spring Energy, 0.014155 0.019543 0.016106
