Apical-Lumen, ECM strength, Spring Energy, 0.013705 0.023278 0.121458
Apical-Lumen, ECM strength, Spring Energy, 0.013256 0.023458 0.114798
Apical-Lumen, ECM strength, Spring Energy, 0.013274 0.023519 0.112830
Apical-Lumen, ECM strength, Spring Energy, 0.013325 0.023554 0.111157
Apical-Lumen, ECM strength, Spring Energy, 0.013395 0.023582 0.109469
Apical-Lumen, ECM strength, Spring Energy, 0.013469 0.023609 0.108022
Apical-Lumen, ECM strength, Spring Energy, 0.013530 0.023631 0.106939
Apical-Lumen, ECM strength, Spring Energy, 0.013587 0.023650 0.105836
Apical-Lumen, ECM strength, Spring Energy, 0.013644 0.023669 0.104750
Apical-Lumen, ECM strength, Spring Energy, 0.013690 0.023682 0.103946
Apical-Lumen, ECM strength, Spring Energy, 0.013731 0.023694 0.103161
Apical-Lumen, ECM strength, Spring Energy, 0.013771 0.023705 0.102373
Apical-Lumen, ECM strength, Spring Energy, 0.013812 0.023714 0.101592
Apical-Lumen, ECM strength, Spring Energy, 0.013852 0.023721 0.100823
Apical-Lumen, ECM strength, Spring Energy, 0.013888 0.023726 0.100187
Apical-Lumen, ECM strength, Spring Energy, 0.013919 0.023730 0.099619
Apical-Lumen, ECM strength, Spring Energy, 0.013949 0.023731 0.099051
Apical-Lumen, ECM strength, Spring Energy, 0.013980 0.023731 0.098484
Apical-Lumen, ECM strength, Spring Energy, 0.014010 0.023730 0.097920
Apical-Lumen, ECM strength, Spring Energy, 0.014041 0.023727 0.097361
Apical-Lumen, ECM strength, Spring Energy, 0.014072 0.023723 0.096808
Apical-Lumen, ECM strength, Spring Energy, 0.014101 0.023718 0.096279
Apical-Lumen, ECM strength, Spring Energy, 0.014127 0.023713 0.095838
Apical-Lumen, ECM strength, Spring Energy, 0.014152 0.023707 0.095399
Apical-Lumen, ECM strength, Spring Energy, 0.014176 0.023701 0.094959
Apical-Lumen, ECM strength, Spring Energy, 0.014201 0.023695 0.094518
Apical-Lumen, ECM strength, Spring Energy, 0.014225 0.023687 0.094079
Apical-Lumen, ECM strength, Spring Energy, 0.014250 0.023680 0.093643
Apical-Lumen, ECM strength, Spring Energy, 0.014274 0.023672 0.093211
Apical-Lumen, ECM strength, Spring Energy, 0.014297 0.023664 0.092799
Apical-Lumen, ECM strength, Spring Energy, 0.014318 0.023658 0.092428
Apical-Lumen, ECM strength, Spring Energy, 0.014338 0.023651 0.092059
Apical-Lumen, ECM strength, Spring Energy, 0.014358 0.023643 0.091689
Apical-Lumen, ECM strength, Spring Energy, 0.014378 0.023636 0.091319
Apical-Lumen, ECM strength, Spring Energy, 0.014398 0.023629 0.090950
Apical-Lumen, ECM strength, Spring Energy, 0.014417 0.023622 0.090583
Apical-Lumen, ECM strength, Spring Energy, 0.014436 0.023615 0.090224
Apical-Lumen, ECM strength, Spring Energy, 0.014454 0.023608 0.089890
Apical-Lumen, ECM strength, Spring Energy, 0.014471 0.023602 0.089564
Apical-Lumen, ECM strength, Spring Energy, 0.014488 0.023595 0.089238
Apical-Lumen, ECM strength, Spring Energy, 0.014505 0.023589 0.088912
Apical-Lumen, ECM strength, Spring Energy, 0.014521 0.023583 0.088587
Apical-Lumen, ECM strength, Spring Energy, 0.014537 0.023576 0.088264
Apical-Lumen, ECM strength, Spring Energy, 0.014553 0.023570 0.087951
Apical-Lumen, ECM strength, Spring Energy, 0.014568 0.023565 0.087655
Apical-Lumen, ECM strength, Spring Energy, 0.014583 0.023559 0.087362
Apical-Lumen, ECM strength, Spring Energy, 0.014597 0.023553 0.087069
Apical-Lumen, ECM strength, Spring Energy, 0.014611 0.023548 0.086777
Apical-Lumen, ECM strength, Spring Energy, 0.014625 0.023543 0.086485
Apical-Lumen, ECM strength, Spring Energy, 0.014639 0.023537 0.086196
Apical-Lumen, ECM strength, Spring Energy, 0.014652 0.023532 0.085918
Apical-Lumen, ECM strength, Spring Energy, 0.014665 0.023527 0.085649
Apical-Lumen, ECM strength, Spring Energy, 0.014677 0.023522 0.085382
Apical-Lumen, ECM strength, Spring Energy, 0.014689 0.023517 0.085115
Apical-Lumen, ECM strength, Spring Energy, 0.014702 0.023513 0.084849
Apical-Lumen, ECM strength, Spring Energy, 0.014714 0.023508 0.084585
Apical-Lumen, ECM strength, Spring Energy, 0.014725 0.023503 0.084325
Apical-Lumen, ECM strength, Spring Energy, 0.014737 0.023499 0.084072
Apical-Lumen, ECM strength, Spring Energy, 0.014748 0.023494 0.083826
Apical-Lumen, ECM strength, Spring Energy, 0.014758 0.023490 0.083581
Apical-Lumen, ECM strength, Spring Energy, 0.014769 0.023486 0.083338
Apical-Lumen, ECM strength, Spring Energy, 0.014780 0.023481 0.083096
Apical-Lumen, ECM strength, Spring Energy, 0.014790 0.023477 0.082856
Apical-Lumen, ECM strength, Spring Energy, 0.014800 0.023473 0.082623
Apical-Lumen, ECM strength, Spring Energy, 0.014810 0.023469 0.082398
Apical-Lumen, ECM strength, Spring Energy, 0.014819 0.023465 0.082176
Apical-Lumen, ECM strength, Spring Energy, 0.014828 0.023462 0.081955
Apical-Lumen, ECM strength, Spring Energy, 0.014837 0.023458 0.081735
Apical-Lumen, ECM strength, Spring Energy, 0.014846 0.023454 0.081516
Apical-Lumen, ECM strength, Spring Energy, 0.014855 0.023450 0.081301
Apical-Lumen, ECM strength, Spring Energy, 0.014864 0.023447 0.081092
Apical-Lumen, ECM strength, Spring Energy, 0.014872 0.023443 0.080888
Apical-Lumen, ECM strength, Spring Energy, 0.014880 0.023440 0.080686
Apical-Lumen, ECM strength, Spring Energy, 0.014888 0.023436 0.080484
Apical-Lumen, ECM strength, Spring Energy, 0.014896 0.023433 0.080284
Apical-Lumen, ECM strength, Spring Energy, 0.014903 0.023430 0.080085
Apical-Lumen, ECM strength, Spring Energy, 0.014911 0.023426 0.079890
Apical-Lumen, ECM strength, Spring Energy, 0.014918 0.023423 0.079701
Apical-Lumen, ECM strength, Spring Energy, 0.014925 0.023420 0.079516
Apical-Lumen, ECM strength, Spring Energy, 0.014932 0.023417 0.079331
Apical-Lumen, ECM strength, Spring Energy, 0.014939 0.023414 0.079147
Apical-Lumen, ECM strength, Spring Energy, 0.014946 0.023411 0.078965
Apical-Lumen, ECM strength, Spring Energy, 0.014953 0.023408 0.078786
Apical-Lumen, ECM strength, Spring Energy, 0.014959 0.023405 0.078609
Apical-Lumen, ECM strength, Spring Energy, 0.014966 0.023402 0.078436
Apical-Lumen, ECM strength, Spring Energy, 0.014972 0.023399 0.078266
