Apical-Lumen, ECM strength, Spring Energy, 0.012700 0.005557 0.032628
Apical-Lumen, ECM strength, Spring Energy, 0.012667 0.006147 0.030455
Apical-Lumen, ECM strength, Spring Energy, 0.012729 0.006449 0.029194
Apical-Lumen, ECM strength, Spring Energy, 0.012806 0.006579 0.028332
Apical-Lumen, ECM strength, Spring Energy, 0.012872 0.006609 0.027907
Apical-Lumen, ECM strength, Spring Energy, 0.012942 0.006610 0.027489
Apical-Lumen, ECM strength, Spring Energy, 0.013003 0.006598 0.027208
Apical-Lumen, ECM strength, Spring Energy, 0.013071 0.006572 0.026906
Apical-Lumen, ECM strength, Spring Energy, 0.013124 0.006551 0.026716
Apical-Lumen, ECM strength, Spring Energy, 0.013186 0.006519 0.026469
Apical-Lumen, ECM strength, Spring Energy, 0.013230 0.006501 0.026348
Apical-Lumen, ECM strength, Spring Energy, 0.013274 0.006474 0.026183
Apical-Lumen, ECM strength, Spring Energy, 0.013330 0.006439 0.025982
Apical-Lumen, ECM strength, Spring Energy, 0.013379 0.006411 0.025829
Apical-Lumen, ECM strength, Spring Energy, 0.013427 0.006380 0.025666
Apical-Lumen, ECM strength, Spring Energy, 0.013471 0.006352 0.025524
Apical-Lumen, ECM strength, Spring Energy, 0.013515 0.006323 0.025374
Apical-Lumen, ECM strength, Spring Energy, 0.013548 0.006305 0.025283
Apical-Lumen, ECM strength, Spring Energy, 0.013579 0.006281 0.025175
Apical-Lumen, ECM strength, Spring Energy, 0.013611 0.006258 0.025070
Apical-Lumen, ECM strength, Spring Energy, 0.013640 0.006235 0.024977
Apical-Lumen, ECM strength, Spring Energy, 0.013666 0.006215 0.024892
Apical-Lumen, ECM strength, Spring Energy, 0.013690 0.006197 0.024820
Apical-Lumen, ECM strength, Spring Energy, 0.013712 0.006177 0.024743
Apical-Lumen, ECM strength, Spring Energy, 0.013733 0.006160 0.024679
Apical-Lumen, ECM strength, Spring Energy, 0.013754 0.006143 0.024608
Apical-Lumen, ECM strength, Spring Energy, 0.013772 0.006128 0.024553
Apical-Lumen, ECM strength, Spring Energy, 0.013789 0.006113 0.024494
Apical-Lumen, ECM strength, Spring Energy, 0.013806 0.006100 0.024443
Apical-Lumen, ECM strength, Spring Energy, 0.013821 0.006088 0.024392
Apical-Lumen, ECM strength, Spring Energy, 0.013835 0.006076 0.024346
Apical-Lumen, ECM strength, Spring Energy, 0.013848 0.006065 0.024296
Apical-Lumen, ECM strength, Spring Energy, 0.013861 0.006055 0.024258
Apical-Lumen, ECM strength, Spring Energy, 0.013873 0.006044 0.024212
Apical-Lumen, ECM strength, Spring Energy, 0.013885 0.006036 0.024179
Apical-Lumen, ECM strength, Spring Energy, 0.013894 0.006026 0.024141
Apical-Lumen, ECM strength, Spring Energy, 0.013905 0.006015 0.024096
Apical-Lumen, ECM strength, Spring Energy, 0.013916 0.006008 0.024067
Apical-Lumen, ECM strength, Spring Energy, 0.013925 0.005999 0.024032
Apical-Lumen, ECM strength, Spring Energy, 0.013934 0.005989 0.023990
Apical-Lumen, ECM strength, Spring Energy, 0.013944 0.005981 0.023961
Apical-Lumen, ECM strength, Spring Energy, 0.013952 0.005974 0.023932
Apical-Lumen, ECM strength, Spring Energy, 0.013960 0.005966 0.023899
Apical-Lumen, ECM strength, Spring Energy, 0.013969 0.005955 0.023860
Apical-Lumen, ECM strength, Spring Energy, 0.013978 0.005948 0.023831
Apical-Lumen, ECM strength, Spring Energy, 0.013986 0.005941 0.023803
Apical-Lumen, ECM strength, Spring Energy, 0.013993 0.005932 0.023770
Apical-Lumen, ECM strength, Spring Energy, 0.014001 0.005922 0.023732
Apical-Lumen, ECM strength, Spring Energy, 0.014010 0.005915 0.023705
Apical-Lumen, ECM strength, Spring Energy, 0.014018 0.005906 0.023672
Apical-Lumen, ECM strength, Spring Energy, 0.014025 0.005899 0.023645
Apical-Lumen, ECM strength, Spring Energy, 0.014032 0.005891 0.023613
Apical-Lumen, ECM strength, Spring Energy, 0.014040 0.005884 0.023588
Apical-Lumen, ECM strength, Spring Energy, 0.014046 0.005877 0.023559
Apical-Lumen, ECM strength, Spring Energy, 0.014053 0.005869 0.023531
Apical-Lumen, ECM strength, Spring Energy, 0.014060 0.005863 0.023505
Apical-Lumen, ECM strength, Spring Energy, 0.014067 0.005855 0.023475
Apical-Lumen, ECM strength, Spring Energy, 0.014074 0.005850 0.023454
Apical-Lumen, ECM strength, Spring Energy, 0.014079 0.005844 0.023431
Apical-Lumen, ECM strength, Spring Energy, 0.014085 0.005837 0.023404
Apical-Lumen, ECM strength, Spring Energy, 0.014091 0.005831 0.023376
Apical-Lumen, ECM strength, Spring Energy, 0.014098 0.005825 0.023354
Apical-Lumen, ECM strength, Spring Energy, 0.014104 0.005819 0.023327
Apical-Lumen, ECM strength, Spring Energy, 0.014110 0.005813 0.023305
Apical-Lumen, ECM strength, Spring Energy, 0.014116 0.005808 0.023284
Apical-Lumen, ECM strength, Spring Energy, 0.014121 0.005803 0.023259
Apical-Lumen, ECM strength, Spring Energy, 0.014127 0.005797 0.023234
Apical-Lumen, ECM strength, Spring Energy, 0.014133 0.005792 0.023214
Apical-Lumen, ECM strength, Spring Energy, 0.014138 0.005787 0.023190
