Apical-Lumen, ECM strength, Spring Energy, 0.011549 0.009005 0.082430
Apical-Lumen, ECM strength, Spring Energy, 0.011594 0.009683 0.078326
Apical-Lumen, ECM strength, Spring Energy, 0.011674 0.009996 0.075994
Apical-Lumen, ECM strength, Spring Energy, 0.011756 0.010171 0.074204
Apical-Lumen, ECM strength, Spring Energy, 0.011815 0.010246 0.073297
Apical-Lumen, ECM strength, Spring Energy, 0.011864 0.010303 0.072408
Apical-Lumen, ECM strength, Spring Energy, 0.011917 0.010351 0.071463
Apical-Lumen, ECM strength, Spring Energy, 0.011974 0.010389 0.070482
Apical-Lumen, ECM strength, Spring Energy, 0.012021 0.010412 0.069815
Apical-Lumen, ECM strength, Spring Energy, 0.012060 0.010428 0.069225
Apical-Lumen, ECM strength, Spring Energy, 0.012098 0.010441 0.068625
Apical-Lumen, ECM strength, Spring Energy, 0.012136 0.010451 0.068026
Apical-Lumen, ECM strength, Spring Energy, 0.012174 0.010459 0.067438
Apical-Lumen, ECM strength, Spring Energy, 0.012210 0.010465 0.066906
Apical-Lumen, ECM strength, Spring Energy, 0.012240 0.010469 0.066470
Apical-Lumen, ECM strength, Spring Energy, 0.012268 0.010472 0.066033
Apical-Lumen, ECM strength, Spring Energy, 0.012296 0.010474 0.065608
Apical-Lumen, ECM strength, Spring Energy, 0.012322 0.010476 0.065221
Apical-Lumen, ECM strength, Spring Energy, 0.012345 0.010477 0.064870
Apical-Lumen, ECM strength, Spring Energy, 0.012366 0.010477 0.064543
Apical-Lumen, ECM strength, Spring Energy, 0.012386 0.010478 0.064242
Apical-Lumen, ECM strength, Spring Energy, 0.012405 0.010478 0.063952
Apical-Lumen, ECM strength, Spring Energy, 0.012423 0.010478 0.063681
Apical-Lumen, ECM strength, Spring Energy, 0.012439 0.010478 0.063423
Apical-Lumen, ECM strength, Spring Energy, 0.012455 0.010477 0.063176
Apical-Lumen, ECM strength, Spring Energy, 0.012471 0.010477 0.062939
Apical-Lumen, ECM strength, Spring Energy, 0.012485 0.010477 0.062713
Apical-Lumen, ECM strength, Spring Energy, 0.012499 0.010477 0.062496
Apical-Lumen, ECM strength, Spring Energy, 0.012512 0.010476 0.062287
Apical-Lumen, ECM strength, Spring Energy, 0.012525 0.010476 0.062084
Apical-Lumen, ECM strength, Spring Energy, 0.012537 0.010476 0.061888
Apical-Lumen, ECM strength, Spring Energy, 0.012549 0.010475 0.061698
Apical-Lumen, ECM strength, Spring Energy, 0.012561 0.010475 0.061513
Apical-Lumen, ECM strength, Spring Energy, 0.012572 0.010474 0.061332
Apical-Lumen, ECM strength, Spring Energy, 0.012583 0.010473 0.061157
Apical-Lumen, ECM strength, Spring Energy, 0.012593 0.010472 0.060986
Apical-Lumen, ECM strength, Spring Energy, 0.012603 0.010472 0.060819
Apical-Lumen, ECM strength, Spring Energy, 0.012613 0.010471 0.060655
Apical-Lumen, ECM strength, Spring Energy, 0.012623 0.010470 0.060495
Apical-Lumen, ECM strength, Spring Energy, 0.012632 0.010469 0.060339
Apical-Lumen, ECM strength, Spring Energy, 0.012641 0.010468 0.060186
Apical-Lumen, ECM strength, Spring Energy, 0.012650 0.010466 0.060036
Apical-Lumen, ECM strength, Spring Energy, 0.012659 0.010465 0.059889
Apical-Lumen, ECM strength, Spring Energy, 0.012667 0.010464 0.059745
Apical-Lumen, ECM strength, Spring Energy, 0.012675 0.010463 0.059604
Apical-Lumen, ECM strength, Spring Energy, 0.012684 0.010461 0.059465
Apical-Lumen, ECM strength, Spring Energy, 0.012691 0.010460 0.059329
Apical-Lumen, ECM strength, Spring Energy, 0.012699 0.010458 0.059195
Apical-Lumen, ECM strength, Spring Energy, 0.012707 0.010457 0.059064
Apical-Lumen, ECM strength, Spring Energy, 0.012714 0.010455 0.058935
Apical-Lumen, ECM strength, Spring Energy, 0.012721 0.010454 0.058808
Apical-Lumen, ECM strength, Spring Energy, 0.012729 0.010452 0.058683
Apical-Lumen, ECM strength, Spring Energy, 0.012736 0.010450 0.058560
Apical-Lumen, ECM strength, Spring Energy, 0.012742 0.010449 0.058439
Apical-Lumen, ECM strength, Spring Energy, 0.012749 0.010447 0.058321
Apical-Lumen, ECM strength, Spring Energy, 0.012756 0.010445 0.058204
Apical-Lumen, ECM strength, Spring Energy, 0.012762 0.010443 0.058089
Apical-Lumen, ECM strength, Spring Energy, 0.012769 0.010442 0.057976
Apical-Lumen, ECM strength, Spring Energy, 0.012775 0.010440 0.057865
Apical-Lumen, ECM strength, Spring Energy, 0.012781 0.010438 0.057755
Apical-Lumen, ECM strength, Spring Energy, 0.012787 0.010436 0.057647
Apical-Lumen, ECM strength, Spring Energy, 0.012793 0.010434 0.057541
Apical-Lumen, ECM strength, Spring Energy, 0.012799 0.010432 0.057437
Apical-Lumen, ECM strength, Spring Energy, 0.012804 0.010430 0.057334
Apical-Lumen, ECM strength, Spring Energy, 0.012810 0.010428 0.057233
Apical-Lumen, ECM strength, Spring Energy, 0.012815 0.010426 0.057133
Apical-Lumen, ECM strength, Spring Energy, 0.012821 0.010425 0.057035
Apical-Lumen, ECM strength, Spring Energy, 0.012826 0.010423 0.056938
Apical-Lumen, ECM strength, Spring Energy, 0.012831 0.010421 0.056843
Apical-Lumen, ECM strength, Spring Energy, 0.012836 0.010419 0.056750
Apical-Lumen, ECM strength, Spring Energy, 0.012841 0.010417 0.056658
Apical-Lumen, ECM strength, Spring Energy, 0.012846 0.010415 0.056567
Apical-Lumen, ECM strength, Spring Energy, 0.012851 0.010413 0.056478
Apical-Lumen, ECM strength, Spring Energy, 0.012856 0.010411 0.056390
Apical-Lumen, ECM strength, Spring Energy, 0.012861 0.010409 0.056303
Apical-Lumen, ECM strength, Spring Energy, 0.012865 0.010407 0.056218
Apical-Lumen, ECM strength, Spring Energy, 0.012870 0.010405 0.056134
Apical-Lumen, ECM strength, Spring Energy, 0.012874 0.010404 0.056051
Apical-Lumen, ECM strength, Spring Energy, 0.012879 0.010402 0.055969
