Apical-Lumen, ECM strength, Spring Energy, 0.013622 0.025336 0.088443
Apical-Lumen, ECM strength, Spring Energy, 0.013131 0.025508 0.082604
Apical-Lumen, ECM strength, Spring Energy, 0.013182 0.025569 0.080719
Apical-Lumen, ECM strength, Spring Energy, 0.013268 0.025592 0.079549
Apical-Lumen, ECM strength, Spring Energy, 0.013370 0.025601 0.078280
Apical-Lumen, ECM strength, Spring Energy, 0.013444 0.025608 0.077587
Apical-Lumen, ECM strength, Spring Energy, 0.013513 0.025609 0.076856
Apical-Lumen, ECM strength, Spring Energy, 0.013590 0.025605 0.076066
Apical-Lumen, ECM strength, Spring Energy, 0.013646 0.025603 0.075574
Apical-Lumen, ECM strength, Spring Energy, 0.013692 0.025599 0.075138
Apical-Lumen, ECM strength, Spring Energy, 0.013738 0.025592 0.074678
Apical-Lumen, ECM strength, Spring Energy, 0.013787 0.025582 0.074196
Apical-Lumen, ECM strength, Spring Energy, 0.013838 0.025570 0.073692
Apical-Lumen, ECM strength, Spring Energy, 0.013879 0.025561 0.073335
Apical-Lumen, ECM strength, Spring Energy, 0.013914 0.025553 0.073013
Apical-Lumen, ECM strength, Spring Energy, 0.013948 0.025542 0.072678
Apical-Lumen, ECM strength, Spring Energy, 0.013985 0.025531 0.072330
Apical-Lumen, ECM strength, Spring Energy, 0.014022 0.025518 0.071971
Apical-Lumen, ECM strength, Spring Energy, 0.014060 0.025503 0.071617
Apical-Lumen, ECM strength, Spring Energy, 0.014091 0.025493 0.071353
Apical-Lumen, ECM strength, Spring Energy, 0.014120 0.025481 0.071078
Apical-Lumen, ECM strength, Spring Energy, 0.014151 0.025468 0.070796
Apical-Lumen, ECM strength, Spring Energy, 0.014182 0.025454 0.070507
Apical-Lumen, ECM strength, Spring Energy, 0.014210 0.025442 0.070264
Apical-Lumen, ECM strength, Spring Energy, 0.014235 0.025431 0.070038
Apical-Lumen, ECM strength, Spring Energy, 0.014261 0.025418 0.069806
Apical-Lumen, ECM strength, Spring Energy, 0.014287 0.025405 0.069567
Apical-Lumen, ECM strength, Spring Energy, 0.014314 0.025391 0.069322
Apical-Lumen, ECM strength, Spring Energy, 0.014342 0.025377 0.069073
Apical-Lumen, ECM strength, Spring Energy, 0.014365 0.025365 0.068877
Apical-Lumen, ECM strength, Spring Energy, 0.014387 0.025354 0.068687
Apical-Lumen, ECM strength, Spring Energy, 0.014409 0.025342 0.068494
Apical-Lumen, ECM strength, Spring Energy, 0.014431 0.025330 0.068295
Apical-Lumen, ECM strength, Spring Energy, 0.014454 0.025317 0.068093
Apical-Lumen, ECM strength, Spring Energy, 0.014477 0.025304 0.067886
Apical-Lumen, ECM strength, Spring Energy, 0.014501 0.025291 0.067676
Apical-Lumen, ECM strength, Spring Energy, 0.014525 0.025279 0.067477
Apical-Lumen, ECM strength, Spring Energy, 0.014545 0.025268 0.067310
Apical-Lumen, ECM strength, Spring Energy, 0.014564 0.025257 0.067140
Apical-Lumen, ECM strength, Spring Energy, 0.014584 0.025246 0.066966
Apical-Lumen, ECM strength, Spring Energy, 0.014604 0.025235 0.066789
Apical-Lumen, ECM strength, Spring Energy, 0.014625 0.025223 0.066609
Apical-Lumen, ECM strength, Spring Energy, 0.014646 0.025211 0.066426
