Apical-Lumen, ECM strength, Spring Energy, 0.012186 0.017065 0.073313
Apical-Lumen, ECM strength, Spring Energy, 0.012130 0.017626 0.069905
Apical-Lumen, ECM strength, Spring Energy, 0.012195 0.017926 0.068158
Apical-Lumen, ECM strength, Spring Energy, 0.012277 0.018081 0.066896
Apical-Lumen, ECM strength, Spring Energy, 0.012340 0.018154 0.066179
Apical-Lumen, ECM strength, Spring Energy, 0.012394 0.018204 0.065553
Apical-Lumen, ECM strength, Spring Energy, 0.012452 0.018249 0.064826
Apical-Lumen, ECM strength, Spring Energy, 0.012513 0.018283 0.064165
Apical-Lumen, ECM strength, Spring Energy, 0.012565 0.018306 0.063668
Apical-Lumen, ECM strength, Spring Energy, 0.012618 0.018325 0.063101
Apical-Lumen, ECM strength, Spring Energy, 0.012663 0.018338 0.062698
Apical-Lumen, ECM strength, Spring Energy, 0.012701 0.018348 0.062339
Apical-Lumen, ECM strength, Spring Energy, 0.012740 0.018355 0.061948
Apical-Lumen, ECM strength, Spring Energy, 0.012782 0.018360 0.061524
Apical-Lumen, ECM strength, Spring Energy, 0.012822 0.018364 0.061151
Apical-Lumen, ECM strength, Spring Energy, 0.012856 0.018367 0.060850
Apical-Lumen, ECM strength, Spring Energy, 0.012889 0.018369 0.060525
Apical-Lumen, ECM strength, Spring Energy, 0.012924 0.018369 0.060181
Apical-Lumen, ECM strength, Spring Energy, 0.012958 0.018369 0.059863
Apical-Lumen, ECM strength, Spring Energy, 0.012987 0.018368 0.059607
Apical-Lumen, ECM strength, Spring Energy, 0.013015 0.018367 0.059336
Apical-Lumen, ECM strength, Spring Energy, 0.013045 0.018365 0.059052
Apical-Lumen, ECM strength, Spring Energy, 0.013074 0.018363 0.058767
Apical-Lumen, ECM strength, Spring Energy, 0.013100 0.018361 0.058540
Apical-Lumen, ECM strength, Spring Energy, 0.013125 0.018358 0.058303
Apical-Lumen, ECM strength, Spring Energy, 0.013150 0.018355 0.058058
Apical-Lumen, ECM strength, Spring Energy, 0.013175 0.018352 0.057827
Apical-Lumen, ECM strength, Spring Energy, 0.013198 0.018349 0.057618
Apical-Lumen, ECM strength, Spring Energy, 0.013220 0.018345 0.057401
Apical-Lumen, ECM strength, Spring Energy, 0.013244 0.018341 0.057179
Apical-Lumen, ECM strength, Spring Energy, 0.013265 0.018337 0.056988
Apical-Lumen, ECM strength, Spring Energy, 0.013285 0.018333 0.056798
Apical-Lumen, ECM strength, Spring Energy, 0.013305 0.018329 0.056601
Apical-Lumen, ECM strength, Spring Energy, 0.013326 0.018325 0.056398
Apical-Lumen, ECM strength, Spring Energy, 0.013346 0.018320 0.056216
Apical-Lumen, ECM strength, Spring Energy, 0.013365 0.018316 0.056046
Apical-Lumen, ECM strength, Spring Energy, 0.013383 0.018312 0.055871
Apical-Lumen, ECM strength, Spring Energy, 0.013402 0.018307 0.055691
Apical-Lumen, ECM strength, Spring Energy, 0.013421 0.018302 0.055506
Apical-Lumen, ECM strength, Spring Energy, 0.013439 0.018298 0.055343
Apical-Lumen, ECM strength, Spring Energy, 0.013455 0.018293 0.055190
Apical-Lumen, ECM strength, Spring Energy, 0.013471 0.018289 0.055032
Apical-Lumen, ECM strength, Spring Energy, 0.013488 0.018284 0.054870
Apical-Lumen, ECM strength, Spring Energy, 0.013505 0.018279 0.054703
Apical-Lumen, ECM strength, Spring Energy, 0.013523 0.018274 0.054534
Apical-Lumen, ECM strength, Spring Energy, 0.013538 0.018270 0.054394
Apical-Lumen, ECM strength, Spring Energy, 0.013553 0.018265 0.054256
Apical-Lumen, ECM strength, Spring Energy, 0.013567 0.018261 0.054113
Apical-Lumen, ECM strength, Spring Energy, 0.013582 0.018256 0.053967
Apical-Lumen, ECM strength, Spring Energy, 0.013597 0.018251 0.053817
Apical-Lumen, ECM strength, Spring Energy, 0.013613 0.018247 0.053665
Apical-Lumen, ECM strength, Spring Energy, 0.013627 0.018242 0.053522
Apical-Lumen, ECM strength, Spring Energy, 0.013641 0.018238 0.053396
