Apical-Lumen, ECM strength, Spring Energy, 0.012810 0.006132 0.103354
Apical-Lumen, ECM strength, Spring Energy, 0.012841 0.006664 0.098301
Apical-Lumen, ECM strength, Spring Energy, 0.013005 0.006956 0.093409
Apical-Lumen, ECM strength, Spring Energy, 0.013124 0.007034 0.090824
Apical-Lumen, ECM strength, Spring Energy, 0.013228 0.007062 0.088450
Apical-Lumen, ECM strength, Spring Energy, 0.013327 0.007066 0.086229
Apical-Lumen, ECM strength, Spring Energy, 0.013424 0.007051 0.084018
Apical-Lumen, ECM strength, Spring Energy, 0.013498 0.007036 0.082344
Apical-Lumen, ECM strength, Spring Energy, 0.013566 0.007016 0.080672
Apical-Lumen, ECM strength, Spring Energy, 0.013624 0.007000 0.079193
Apical-Lumen, ECM strength, Spring Energy, 0.013676 0.006983 0.077745
Apical-Lumen, ECM strength, Spring Energy, 0.013723 0.006968 0.076422
Apical-Lumen, ECM strength, Spring Energy, 0.013765 0.006953 0.075153
Apical-Lumen, ECM strength, Spring Energy, 0.013805 0.006939 0.073875
Apical-Lumen, ECM strength, Spring Energy, 0.013840 0.006925 0.072762
Apical-Lumen, ECM strength, Spring Energy, 0.013872 0.006912 0.071679
Apical-Lumen, ECM strength, Spring Energy, 0.013904 0.006898 0.070578
Apical-Lumen, ECM strength, Spring Energy, 0.013934 0.006883 0.069494
Apical-Lumen, ECM strength, Spring Energy, 0.013962 0.006870 0.068554
Apical-Lumen, ECM strength, Spring Energy, 0.013988 0.006856 0.067616
Apical-Lumen, ECM strength, Spring Energy, 0.014014 0.006841 0.066664
Apical-Lumen, ECM strength, Spring Energy, 0.014039 0.006827 0.065788
Apical-Lumen, ECM strength, Spring Energy, 0.014063 0.006814 0.064961
Apical-Lumen, ECM strength, Spring Energy, 0.014086 0.006799 0.064118
Apical-Lumen, ECM strength, Spring Energy, 0.014109 0.006785 0.063276
Apical-Lumen, ECM strength, Spring Energy, 0.014131 0.006772 0.062532
Apical-Lumen, ECM strength, Spring Energy, 0.014152 0.006759 0.061797
Apical-Lumen, ECM strength, Spring Energy, 0.014174 0.006745 0.061048
Apical-Lumen, ECM strength, Spring Energy, 0.014196 0.006732 0.060295
Apical-Lumen, ECM strength, Spring Energy, 0.014216 0.006720 0.059635
Apical-Lumen, ECM strength, Spring Energy, 0.014236 0.006708 0.058985
Apical-Lumen, ECM strength, Spring Energy, 0.014257 0.006696 0.058321
Apical-Lumen, ECM strength, Spring Energy, 0.014278 0.006683 0.057645
Apical-Lumen, ECM strength, Spring Energy, 0.014298 0.006672 0.057020
Apical-Lumen, ECM strength, Spring Energy, 0.014318 0.006661 0.056439
