Apical-Lumen, ECM strength, Spring Energy, 0.013171 0.019742 0.089880
Apical-Lumen, ECM strength, Spring Energy, 0.012861 0.020207 0.084424
Apical-Lumen, ECM strength, Spring Energy, 0.012937 0.020352 0.082947
Apical-Lumen, ECM strength, Spring Energy, 0.013014 0.020428 0.081765
Apical-Lumen, ECM strength, Spring Energy, 0.013102 0.020482 0.080500
Apical-Lumen, ECM strength, Spring Energy, 0.013207 0.020520 0.079211
Apical-Lumen, ECM strength, Spring Energy, 0.013285 0.020541 0.078405
Apical-Lumen, ECM strength, Spring Energy, 0.013356 0.020552 0.077626
Apical-Lumen, ECM strength, Spring Energy, 0.013421 0.020558 0.076941
Apical-Lumen, ECM strength, Spring Energy, 0.013477 0.020561 0.076351
Apical-Lumen, ECM strength, Spring Energy, 0.013531 0.020560 0.075773
Apical-Lumen, ECM strength, Spring Energy, 0.013583 0.020557 0.075234
Apical-Lumen, ECM strength, Spring Energy, 0.013629 0.020552 0.074753
Apical-Lumen, ECM strength, Spring Energy, 0.013675 0.020546 0.074262
Apical-Lumen, ECM strength, Spring Energy, 0.013716 0.020539 0.073855
Apical-Lumen, ECM strength, Spring Energy, 0.013755 0.020531 0.073444
Apical-Lumen, ECM strength, Spring Energy, 0.013795 0.020522 0.073029
Apical-Lumen, ECM strength, Spring Energy, 0.013830 0.020513 0.072680
Apical-Lumen, ECM strength, Spring Energy, 0.013865 0.020503 0.072326
Apical-Lumen, ECM strength, Spring Energy, 0.013900 0.020491 0.071964
Apical-Lumen, ECM strength, Spring Energy, 0.013931 0.020481 0.071656
Apical-Lumen, ECM strength, Spring Energy, 0.013962 0.020470 0.071351
Apical-Lumen, ECM strength, Spring Energy, 0.013993 0.020457 0.071036
Apical-Lumen, ECM strength, Spring Energy, 0.014024 0.020444 0.070717
Apical-Lumen, ECM strength, Spring Energy, 0.014052 0.020433 0.070450
Apical-Lumen, ECM strength, Spring Energy, 0.014079 0.020421 0.070183
Apical-Lumen, ECM strength, Spring Energy, 0.014106 0.020409 0.069907
Apical-Lumen, ECM strength, Spring Energy, 0.014134 0.020396 0.069625
Apical-Lumen, ECM strength, Spring Energy, 0.014160 0.020383 0.069362
Apical-Lumen, ECM strength, Spring Energy, 0.014185 0.020372 0.069124
Apical-Lumen, ECM strength, Spring Energy, 0.014209 0.020360 0.068880
Apical-Lumen, ECM strength, Spring Energy, 0.014234 0.020348 0.068630
Apical-Lumen, ECM strength, Spring Energy, 0.014259 0.020335 0.068378
Apical-Lumen, ECM strength, Spring Energy, 0.014281 0.020324 0.068160
Apical-Lumen, ECM strength, Spring Energy, 0.014302 0.020313 0.067943
Apical-Lumen, ECM strength, Spring Energy, 0.014324 0.020302 0.067722
Apical-Lumen, ECM strength, Spring Energy, 0.014346 0.020291 0.067496
Apical-Lumen, ECM strength, Spring Energy, 0.014369 0.020279 0.067266
Apical-Lumen, ECM strength, Spring Energy, 0.014389 0.020269 0.067061
Apical-Lumen, ECM strength, Spring Energy, 0.014409 0.020259 0.066866
Apical-Lumen, ECM strength, Spring Energy, 0.014428 0.020249 0.066667
Apical-Lumen, ECM strength, Spring Energy, 0.014447 0.020239 0.066463
Apical-Lumen, ECM strength, Spring Energy, 0.014467 0.020229 0.066256
Apical-Lumen, ECM strength, Spring Energy, 0.014487 0.020218 0.066047
Apical-Lumen, ECM strength, Spring Energy, 0.014505 0.020209 0.065866
Apical-Lumen, ECM strength, Spring Energy, 0.014522 0.020200 0.065689
Apical-Lumen, ECM strength, Spring Energy, 0.014539 0.020192 0.065509
Apical-Lumen, ECM strength, Spring Energy, 0.014556 0.020183 0.065326
